code,name,sector,theme,sector_theme,source,source_url,asof_kst
103230,에스앤더블류,일반 목적용 기계 제조업,디젤엔진부품·산업부품·단조품,일반 목적용 기계 제조업 / 디젤엔진부품·산업부품·단조품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
103590,일진전기,절연선 및 케이블 제조업,,절연선 및 케이블 제조업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
103660,씨앗,기타 화학제품 제조업,잉크리본·인화지,기타 화학제품 제조업 / 잉크리본·인화지,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
103840,우양,"과실, 채소 가공 및 저장 처리업",HMR·음료 베이스·퓨레 등,"과실, 채소 가공 및 저장 처리업 / HMR·음료 베이스·퓨레 등",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104040,디에스엠,자동차 신품 부품 제조업,자동차부품(시트·도어) 제조,자동차 신품 부품 제조업 / 자동차부품(시트·도어) 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104200,NHN벅스,기타 정보 서비스업,디지털음원유통·온라인음악서비스,기타 정보 서비스업 / 디지털음원유통·온라인음악서비스,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104460,디와이피엔에프,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템),일반 목적용 기계 제조업 / 뉴메틱 컨베잉 시스템(분체이송시스템),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104480,티케이케미칼,화학섬유 제조업,수지·폴리에스터·스판덱스,화학섬유 제조업 / 수지·폴리에스터·스판덱스,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104540,코렌텍,의료용 기기 제조업,인공고관절·인공슬관절 등,의료용 기기 제조업 / 인공고관절·인공슬관절 등,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104620,노랑풍선,여행사 및 기타 여행보조 서비스업,국내외여행 알선·항공권 판매,여행사 및 기타 여행보조 서비스업 / 국내외여행 알선·항공권 판매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
