ticker,corp_code,corp_name,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,account_nm,fs_div,sj_div,bsns_year,reprt_code,target_period_key,fetched_at_kst
002787,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
002790,00154462,아모레퍼시픽홀딩스,260569087945,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002795,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
002800,00136448,신신제약,7242917474,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002810,00127167,삼영무역,13545744970,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002820,00132211,SUN&L,-3823820643,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:39+09:00
002840,00121932,미원상사,30136619478,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:40+09:00
002870,00137368,신풍,-1177670721,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:40+09:00
002880,00149804,디와이에이,20784238904,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:40+09:00
002900,00117230,TYM,62640973370,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:40+09:00
002920,00174004,유성기업,-10962721327,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
002960,00158149,한국쉘석유,31573071718,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
002990,00106313,금호건설,28657965170,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
002995,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
003000,00123718,부광약품,2514289607,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
003010,00165343,혜인,8405692100,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
003030,00124197,세아제강지주,-24119570380,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:41+09:00
003060,00101044,에이프로젠바이오로직스,-31074598752,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003070,00152880,코오롱글로벌,74220559292,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003075,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
003080,00132725,SB성보,3383279097,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003090,00111810,대웅,124423172875,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003100,00131896,선광,22923694250,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003120,00146214,일성아이에스,-2058582415,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:42+09:00
003160,00118275,디아이,58462013217,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:43+09:00
003200,00146269,일신방직,15483637685,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:43+09:00
003220,00111999,대원제약,4372154479,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:43+09:00
003230,00126955,삼양식품,353313697185,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:43+09:00
003240,00153393,태광산업,-12482462909,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:44+09:00
003280,00167208,흥아해운,4245609493,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:44+09:00
003300,00162993,한일홀딩스,77652282371,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:44+09:00
003310,00112457,대주산업,4523395674,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:44+09:00
003350,00160621,한국화장품제조,22527562673,KRW,False,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:44+09:00
