basis_date,market,ticker,name,long_history_rows,metric_input_rows,metric_status,official_close,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_value,ma5_direction,ma20_value,ma20_direction,ma60_value,ma60_direction,ma120_value,ma120_direction,return_1m_pct,return_3m_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,atr14_krw,atr14_pct,avg_daily_range_20_pct,mean_run_days,up_run_days,down_run_days,streak_direction,streak_days,streak_change_pct,ma20_reference_only,confirmed_swing_low_stop,rsi,macd,return_1w,return_6m,return_ytd,return_52w,rs_sector,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,004870,티웨이홀딩스,260,143,OK,1117.0,NEW_LOW,최근 신저점,2026-07-23,2026-08-04,352.2267,-20.7801,-2.1034,1125.8,-1,1144.0,-1,771.8167,1,539.0083,1,-13.5449,318.3521,-22.439,329.3522,,,5.6248,2.727272727272727,1.5454545454545454,3.909090909090909,-1,3,-1.759,1144.0,,,,,,,,,,
2026-09-11,KOSPI,004910,조광페인트,260,143,OK,3535.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-06-26,2026-06-17,9.1049,-7.4607,-0.1412,3581.0,1,3588.75,-1,3540.0833,-1,3972.2917,-1,-6.9737,1.0,-15.8678,12.0001,116.794,3.3039,3.1495,2.0689655172413794,2,2.1333333333333333,-1,4,-3.1507,3588.75,,,,,,,,,,
2026-09-11,KOSPI,005320,온타이드,260,143,OK,1203.0,UPTREND,상승중,2026-07-28,2026-09-04,83.6641,-0.166,-0.166,1185.4,1,961.75,1,871.7833,1,796.2667,1,47.9705,8.3784,39.0764,19.3785,,,10.3166,2.3076923076923075,2,2.6153846153846154,1,3,2.383,961.75,,,,,,,,,,
2026-09-11,KOSPI,005380,현대차,260,143,OK,382500.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,8.9744,-40.881,-0.2608,387500.0,-1,403075.0,-1,432016.6667,-1,504587.5,-1,-5.0868,-35.9296,-13.9809,-24.9295,17600.4587,4.6014,3.8405,1.8181818181818181,1.5625,2.0588235294117645,-1,1,-1.671,403075.0,,,,,,,,,,
2026-09-11,KOSPI,005385,현대차우,260,143,OK,182000.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,1.8467,-29.0448,-1.9397,185680.0,-1,193145.0,-1,200998.3333,-1,228074.1667,-1,-7.9413,-22.3881,-16.8354,-11.388,6421.9029,3.5285,2.9166,2.0689655172413794,1.7857142857142858,2.3333333333333335,-1,4,-3.4483,193145.0,,,,,,,,,,
2026-09-11,KOSPI,005387,현대차2우B,260,143,OK,180500.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-15,0.7817,-29.7665,-2.3268,184340.0,-1,192760.0,-1,201245.0,-1,227901.6667,-1,-9.4784,-23.3546,-18.3725,-12.3545,6242.7644,3.4586,2.8478,1.935483870967742,1.5333333333333334,2.3125,-1,4,-3.7333,192760.0,,,,,,,,,,
2026-09-11,KOSPI,005389,현대차3우B,260,143,OK,178500.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,2.8226,-26.9939,-1.5987,181080.0,-1,188350.0,-1,194858.3333,-1,219933.3333,-1,-7.7996,-20.3125,-16.6937,-9.3124,5121.6713,2.8693,2.4947,2.4,2,2.769230769230769,-1,4,-2.459,188350.0,,,,,,,,,,
2026-09-11,KOSPI,005490,POSCO홀딩스,260,143,OK,334000.0,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-06-15,15.7712,-15.443,-0.8902,334800.0,-1,331850.0,1,322300.0,-1,363316.6667,0,2.2971,-6.7039,-6.597,4.2962,12913.7006,3.8664,3.4516,1.8181818181818181,1.8125,1.8235294117647058,-1,1,-1.4749,331850.0,,,,,,,,,,
2026-09-11,KOSPI,005500,삼진제약,260,143,OK,18440.0,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-06-16,8.4068,-5.6777,-1.6533,18630.0,-1,18398.0,1,18237.0,-1,18732.8333,0,-1.3376,-2.3822,-10.2317,8.6179,435.0593,2.3593,2.308,1.7142857142857142,1.6470588235294117,1.7777777777777777,-1,4,-1.8104,18398.0,,,,,,,,,,
2026-09-11,KOSPI,005820,원림,260,143,OK,14160.0,NEW_LOW,최근 신저점,2026-06-26,2026-09-01,10.9718,-8.8803,-6.9034,14666.0,-1,15074.5,0,14207.3333,1,14810.8333,-1,-2.814,4.1176,-11.7081,15.1177,525.4493,3.7108,3.4645,2.727272727272727,2.5454545454545454,2.909090909090909,-1,5,-6.9034,15074.5,,,,,,,,,,
2026-09-11,KOSPI,005830,DB손해보험,260,143,OK,191700.0,UPTREND,상승중,2026-06-26,2026-09-03,45.7795,-5.5665,-2.0439,188740.0,-1,186480.0,1,164405.0,1,163195.8333,1,16.535,36.9286,7.6409,47.9287,9386.7146,4.8966,5.0648,2.142857142857143,2.357142857142857,1.9285714285714286,1,2,3.0091,186480.0,,,,,,,,,,
2026-09-11,KOSPI,005930,삼성전자,260,143,OK,259500.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-18,25.3623,-28.4138,1.5656,267500.0,1,262800.0,1,272716.6667,-1,262445.8333,1,8.3507,-13.2107,-0.5434,-2.2106,14509.8087,5.5914,4.2082,1.875,1.875,1.875,-1,2,-3.7106,262800.0,,,,,,,,,,
2026-09-11,KOSPI,005935,삼성전자우,260,143,OK,193300.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-25,28.0132,-17.7447,0.8873,198360.0,1,192365.0,1,191036.6667,-1,179704.1667,1,7.2697,-0.1034,-1.6244,10.8967,10868.69,5.6227,4.7276,1.7647058823529411,1.7058823529411764,1.8235294117647058,-1,1,-4.7783,192365.0,,,,,,,,,,
2026-09-11,KOSPI,006110,삼아알미늄,260,143,OK,59800.0,TOP_DECLINE,고점후하락,2026-07-29,2026-08-31,121.4815,-16.3636,-12.9549,64780.0,-1,62467.5,1,47085.8333,1,54411.25,1,16.5692,-0.3333,7.6751,10.6668,6212.353,10.3886,10.8423,2.2222222222222223,2.076923076923077,2.357142857142857,-1,2,-11.0119,62467.5,,,,,,,,,,
2026-09-11,KOSPI,006220,제주은행,260,143,OK,10350.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-16,25.4545,-16.0584,2.7805,10074.0,-1,9749.5,1,9643.1667,-1,10849.5,-1,11.1708,-15.6479,2.2767,-4.6478,425.7026,4.1131,4.5928,2.142857142857143,2.2142857142857144,2.0714285714285716,1,2,3.8114,9749.5,,,,,,,,,,
2026-09-11,KOSPI,006260,LS,260,143,OK,319500.0,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,2026-07-30,2026-06-17,42.953,-26.2125,6.6778,318000.0,1,310450.0,-1,319583.3333,-1,357070.8333,1,-0.9302,-14.4578,-9.8243,-3.4577,23784.9485,7.4444,6.5503,2.2222222222222223,1.7692307692307692,2.642857142857143,-1,2,-3.1818,310450.0,,,,,,,,,,
