ticker,name,market,benchmark_ticker,financial_sector_neutral,raw_source_mode,audit_status,candidate_count,approved_exact_count,approved_exact_ids,candidate_account_ids,candidate_account_names
005490,POSCO홀딩스,KOSPI,1011,FALSE,DIRECT,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
005500,삼진제약,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
005820,원림,KOSPI,1006,FALSE,DIRECT,APPROVED_EXACT_READY,2,1,ifrs-full_AdjustmentsForDepreciationExpense,dart_AdjustmentsForDepreciationInvestmentProperty|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|투자부동산감가상각비
005830,DB손해보험,KOSPI,1025,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
005930,삼성전자,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
006370,대구백화점,KOSPI,1016,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
006380,카프로,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
006650,대한유화,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
008770,호텔신라,KOSPI,1016,FALSE,DIRECT,APPROVED_EXACT_READY,3,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,dart_AdjustmentsForDepreciationRightofuseAssets|ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비|사용권자산상각비
008930,한미사이언스,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
009200,무림페이퍼,KOSPI,1007,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
009420,한올바이오파마,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
009540,HD한국조선해양,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
010130,고려아연,KOSPI,1011,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
011200,HMM,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
012160,영흥,KOSPI,1011,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
012280,영화금속,KOSPI,1015,FALSE,DIRECT,APPROVED_EXACT_READY,1,1,ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForDepreciationExpense,감가상각비
012450,한화에어로스페이스,KOSPI,1015,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
012690,모나리자,KOSPI,1007,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
013360,일성건설,KOSPI,1018,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
013570,디와이,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
014160,대영포장,KOSPI,1007,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
017670,SK텔레콤,KOSPI,1020,FALSE,DIRECT,UNAPPROVED_CANDIDATE_IDS_PRESENT,1,0,,ifrs-full_DepreciationExpense,감가상각비
018260,삼성에스디에스,KOSPI,1046,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
020000,한섬,KOSPI,1006,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
020560,아시아나항공,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
021240,코웨이,KOSPI,1026,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
022100,포스코DX,KOSPI,1026,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
023960,에쓰씨엔지니어링,KOSPI,1018,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
024720,콜마홀딩스,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
028050,삼성E&A,KOSPI,1026,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
029530,신도리코,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
029780,삼성카드,KOSPI,1021,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,4,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,dart_AdjustmentsForDepreciationLeasedAssets|dart_AdjustmentsForDepreciationRightofuseAssets|ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비|사용권자산감가상각비|운용리스자산 감가상각비
034020,두산에너빌리티,KOSPI,1012,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
035420,NAVER,KOSPI,1046,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
035720,카카오,KOSPI,1046,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
036570,NC,KOSPI,1046,FALSE,DIRECT,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
044380,주연테크,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
047050,포스코인터내셔널,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
047810,한국항공우주,KOSPI,1015,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
051905,LG생활건강우,KOSPI,1008,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,0,0,,,
058730,다스코,KOSPI,1011,FALSE,DIRECT,APPROVED_EXACT_READY,3,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,dart_AdjustmentsForDepreciationInvestmentProperty|ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비|투자부동산감가상각비
058860,KTis,KOSPI,1046,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
063160,종근당바이오,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
066570,LG전자,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
066575,LG전자우,KOSPI,1013,FALSE,PREFERRED_COMMON:066570,NO_DA_CANDIDATE,0,0,,,
069620,대웅제약,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
071840,롯데하이마트,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
072130,유엔젤,KOSPI,1046,FALSE,DIRECT,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
078520,에이블씨엔씨,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
081000,일진다이아,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
086280,현대글로비스,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
088980,맥쿼리인프라,KOSPI,1021,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
091810,트리니티항공,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
097950,CJ제일제당,KOSPI,1005,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
097955,CJ제일제당 우,KOSPI,1005,FALSE,PREFERRED_COMMON:097950,NO_DA_CANDIDATE,0,0,,,
100250,진양홀딩스,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
105560,KB금융,KOSPI,1021,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,1,0,,ifrs-full_AdjustmentsForDepreciationAndAmortisationExpense,감가상각비 및 상각비
128940,한미약품,KOSPI,1009,FALSE,DIRECT,APPROVED_EXACT_READY,2,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,감가상각비|무형자산상각비
138930,BNK금융지주,KOSPI,1021,TRUE,UNAVAILABLE,FINANCIAL_SECTOR_NEUTRAL,2,1,ifrs-full_AdjustmentsForAmortisationExpense,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationAndAmortisationExpense,감가상각비|무형자산상각비
139480,이마트,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
214320,이노션,KOSPI,1026,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
234080,JW생명과학,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
241590,화승엔터프라이즈,KOSPI,1006,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
267250,HD현대,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,0,0,,,
267270,HD건설기계,KOSPI,1012,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
271940,일진하이솔루스,KOSPI,1015,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
271980,제일약품,KOSPI,1009,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
278470,에이피알,KOSPI,1008,FALSE,DIRECT,APPROVED_EXACT_READY,3,2,ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,dart_AdjustmentsForDepreciationRightofuseAssets|ifrs-full_AdjustmentsForAmortisationExpense|ifrs-full_AdjustmentsForDepreciationExpense,무형자산상각비|사용권자산상각비|유형자산감가상각비
286940,롯데이노베이트,KOSPI,1046,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
298000,효성화학,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
298690,에어부산,KOSPI,1019,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
336260,두산퓨얼셀,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
357250,미래에셋맵스리츠,KOSPI,1045,FALSE,UNAVAILABLE,RAW_SOURCE_UNAVAILABLE,1,1,ifrs-full_AdjustmentsForDepreciationExpense,ifrs-full_AdjustmentsForDepreciationExpense,감가상각비에 대한 조정
361610,SK아이이테크놀로지,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
373220,LG에너지솔루션,KOSPI,1013,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
402340,SK스퀘어,KOSPI,1021,TRUE,DIRECT,FINANCIAL_SECTOR_NEUTRAL,1,0,,ifrs-full_DepreciationAndAmortisationExpense,감가상각비
403550,쏘카,KOSPI,1026,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
456040,OCI,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
475560,더본코리아,KOSPI,1016,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
483650,달바글로벌,KOSPI,1008,FALSE,DIRECT,NO_DA_CANDIDATE,0,0,,,
