name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
삼성생명,032830,KR,KRW,KOSPI,OK,2026-07-08,348000.0,310500.0,343500.0,343500.0,381000.0,303000.0,15060.0,4.13,2.3,224000.0,516000.0,230000.0,497000.0,130.58,42.39,46885.0,16315980000.0,199435949350.0,False,,,,,,,62,pykrx_adjusted,
삼성전기,009150,KR,KRW,KOSPI,OK,2026-07-08,1520000.0,1317000.0,1496000.0,1496000.0,1698000.0,1277000.0,81100.0,5.56,1.8,488500.0,2417000.0,514000.0,2270000.0,394.78,53.49,123901.0,188329520000.0,2218408432600.0,False,,,,,,,62,pykrx_adjusted,
삼성전자,005930,KR,KRW,KOSPI,OK,2026-07-08,288000.0,257000.0,284500.0,284500.0,315000.0,251000.0,12350.0,4.19,1.7,198200.0,374500.0,201000.0,362500.0,88.95,50.94,3287471.0,946791648000.0,9917449095200.0,False,,,,,,,62,pykrx_adjusted,
삼성전자우,005935,KR,KRW,KOSPI,OK,2026-07-08,195400.0,177100.0,193200.0,193200.0,211500.0,173400.0,7340.0,3.8,1.7,135500.0,243500.0,137700.0,235000.0,79.7,55.46,323986.0,63306864400.0,909685807435.0,False,,,,,,,62,pykrx_adjusted,
삼성중공업,010140,KR,KRW,KOSPI,OK,2026-07-08,21750.0,20450.0,21550.0,21550.0,23650.0,21100.0,853.0,3.01,2.0,21750.0,35350.0,21750.0,34400.0,62.53,0.0,315247.0,6856622250.0,111180980472.0,False,,,,,,,62,pykrx_adjusted,
삼양식품,003230,KR,KRW,KOSPI,OK,2026-07-08,1196000.0,1115000.0,1184000.0,1184000.0,1267000.0,1099000.0,32350.0,2.64,2.0,1011000.0,1484000.0,1069000.0,1444000.0,46.79,39.11,5963.0,7131748000.0,60397342100.0,False,,,,,,,62,pykrx_adjusted,
삼화콘덴서,001820,KR,KRW,KOSPI,OK,2026-07-08,102300.0,83400.0,100000.0,100000.0,118900.0,79600.0,7560.0,6.76,1.8,55000.0,196800.0,58400.0,190100.0,257.82,33.36,72256.0,7391788800.0,154967362175.0,False,,,,,,,62,pykrx_adjusted,
셀트리온,068270,KR,KRW,KOSPI,OK,2026-07-08,177700.0,167700.0,175900.0,175900.0,186500.0,165700.0,4000.0,2.25,2.0,158500.0,202000.0,159400.0,199200.0,27.49,44.07,46925.0,8338572500.0,104611075630.0,False,,,,,,,62,pykrx_adjusted,
신세계,004170,KR,KRW,KOSPI,OK,2026-07-08,633000.0,579000.0,627000.0,627000.0,680000.0,568000.0,21600.0,3.82,1.6,319000.0,792000.0,330000.0,776000.0,148.28,66.38,6600.0,4177800000.0,67532727150.0,False,,,,,,,62,pykrx_adjusted,
주성엔지니어링,036930,KR,KRW,KOSDAQ,OK,2026-07-08,169600.0,138300.0,165800.0,165800.0,197200.0,132000.0,12540.0,7.54,2.3,61000.0,283000.0,63300.0,250500.0,363.93,48.92,172296.0,29221401600.0,611115383470.0,False,,,,,,,62,pykrx_adjusted,
