ticker,name,market,financial_sector,raw_source_mode,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,audit_note
002380,KCC,KOSPI,false,UNAVAILABLE,16,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
002380,KCC,KOSPI,false,UNAVAILABLE,16,흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,재무·수익성 cache 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,FALSE,"승인 exact D&A 원천 부족; debt_status=NO_EXACT_CANDIDATE, da_status=NO_EXACT_CANDIDATE"
005385,현대차우,KOSPI,false,UNAVAILABLE,17,PBR:MISSING_PBR_OR_ROE,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,PSR 또는 대체 가치지표:MISSING_PSR_INPUT,SOURCE_DATA_GAP,FINANCIAL_AND_RAW_SOURCE,FALSE,시가총액 또는 연간 매출 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,ROE:MISSING_ROE,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,재무·수익성 cache 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,부채비율:MISSING_DEBT_RATIO,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,재무·수익성 cache 입력 보강 필요
005385,현대차우,KOSPI,false,UNAVAILABLE,17,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
