ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
002990,금호건설,KOSPI,,-3.42,30.73,117.12,2.97,17.29,405.51,11.96,2.07,흑자지속,-3.68,2.21,30.01,51027952185.0,28.0244,297.5676,,,170268713261.0,0.1646,4.7386,없음,TOP_DECLINE
003230,삼양식품,KOSPI,기타 식품 제조업 / 라면·스낵·유제품,37.21,39.06,54.1,23.8,36.43,77.53,17.81,6.49,흑자지속,39.28,46.71,63.59,309287213625.0,1.9139,8.6735,48.9011,5.5313,83809782325.0,0.9957,2.9051,경계,TOP_DECLINE
003280,흥아해운,KOSPI,해상 운송업 / 외항화물운송업(케미컬탱커),-4.74,-59.64,-71.9,4.72,1.93,70.8,82.88,1.6,흑자지속,2.62,-46.34,-67.0,38014074656.0,8.8696,1.4587,52.3669,6.3355,26169965566.0,1.7483,2.3847,없음,BOTTOM_REBOUND
003490,대한항공,KOSPI,항공 여객 운송업 / 여객운송·화물운송·항공기 제조,9.33,-61.27,-162.44,2.23,-10.52,390.69,,0.9,흑자지속,16.41,-155.96,-207.68,4075191178550.0,8.6304,16.7339,68.9655,3.5752,84539462359.0,0.7189,1.7019,경계,UPTREND_PULLBACK
003495,대한항공우,KOSPI,,,,,,,,,,,,,,4075191178550.0,0.9302,1.4019,32.2581,2.0666,38799378.0,0.6436,0.5061,없음,SIDEWAYS_OR_UNCONFIRMED
003550,LG,KOSPI,기타 금융업 / 지주회사,5.53,3.48,7.06,24.03,5.58,9.81,9.85,0.55,흑자지속,19.02,92.49,118.63,1015114000000.0,3.8781,4.6512,64.8936,4.7133,40688511024.0,0.7268,2.3208,주의,TOP_DECLINE
003580,HLB글로벌,KOSPI,,13.31,36.4,62.79,-5.86,-9.71,58.55,,1.16,적자지속,20.47,21.72,61.48,-8453730540.0,0.6169,11.7889,78.875,5.5598,177408495.0,0.2711,1.5903,위험,UPTREND_PULLBACK
004170,신세계,KOSPI,,7.97,75.74,195.44,10.06,6.71,121.19,7.94,0.53,흑자지속,5.11,121.84,1186.66,990582722093.0,-11.0852,-46.6387,2.6066,7.1353,32903708750.0,1.2099,2.8255,주의,SIDEWAYS_OR_UNCONFIRMED
004370,농심,KOSPI,기타 식품 제조업 / 라면·스낵·유지 제조,7.35,31.68,30.22,6.7,7.66,36.91,11.0,0.84,흑자지속,10.18,47.57,50.13,268700833743.0,4.804,10.5333,67.7305,4.0574,17214515062.0,0.4909,2.6955,위험,TOP_DECLINE
004545,깨끗한나라우,KOSPI,,,,,,,,,,,,,,-2125154935.0,-14.1758,-55.5745,,,6790205.0,1.7656,1.8364,없음,NEW_LOW
