ticker,lane,blocker_occurrences,blocker_reasons,current_financial_eligible,source_cache_row_present,source_cache_status,source_cache_reason,three_year_source_status,quarter_source_status,deep_source_status,fetched_at_kst
004990,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
006060,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
006125,UPSTREAM_FINANCIAL_BLOCKED_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE,FALSE,,,,,,
006220,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
008250,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
010120,UPSTREAM_FINANCIAL_BLOCKED_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE,FALSE,,,,,,
011330,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
013890,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
014825,UPSTREAM_FINANCIAL_BLOCKED_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE,FALSE,,,,,,
016590,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
023530,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
024090,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
024110,EXISTING_ANNUAL_AND_QUARTER_LIMITED,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,TRUE,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",LIMITED,LIMITED,OK,2026-09-22T13:47:41+09:00
