ticker,name,market,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,target_period_key,fetched_at_kst
005850,에스엘,KOSPI,00125521,에스엘,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,2755346929901.0,269572671154.0,247998614166.0,4411664315506.0,1599710588188.0,2811953727318.0,2528429753485.0,225203501359.0,174202460821.0,8.97,19.7,42.36,9.78,56.89,17.64,흑자지속,2285267184000.0,46448520.0,2026-09-22,10678.43,60539.15,4.61,0.81,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:45+09:00
005950,이수화학,KOSPI,00145552,이수화학,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1379295175000.0,121987050000.0,98689197000.0,1048763040000.0,631087559000.0,417675481000.0,740482180000.0,3924500000.0,-18506540000.0,86.27,3008.35,633.27,8.84,151.1,47.26,흑자전환,278455249710.0,26294169.0,2026-09-22,7506.55,15884.72,1.41,0.67,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
006040,동원산업,KOSPI,00118026,동원산업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,5101972580153.0,297615241173.0,217523578030.0,7992941887515.0,3989079806090.0,4003862081425.0,4677924885333.0,258485520403.0,162813790766.0,9.06,15.14,33.6,5.83,99.63,10.87,흑자지속,1553756828800.0,44140819.0,2026-09-22,9855.89,90706.57,3.57,0.39,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
006110,삼아알미늄,KOSPI,00126779,삼아알미늄,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,164358486167.0,-2641423371.0,-5234512652.0,531554458238.0,309991659849.0,221562798389.0,133509686128.0,-5771741491.0,-7569201512.0,23.11,54.24,30.84,-1.61,139.91,-4.73,적자지속,831790025000.0,15123455.0,2026-09-22,-692.24,14650.28,,3.75,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
006200,한국전자홀딩스,KOSPI,00159254,한국전자홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,158308942457.0,-5234390514.0,-5016541106.0,549238441777.0,169705703572.0,379532738205.0,145578548396.0,-3799603829.0,-1594118866.0,8.74,-37.76,-214.69,-3.31,44.71,-2.64,적자지속,18112813245.0,9360627.0,2026-09-22,-1071.84,40545.65,,0.05,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
007610,선도전기,KOSPI,00131939,선도전기,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,8069222048.0,-1521912121.0,-2241958075.0,78782164500.0,44445997481.0,34336167019.0,15171833326.0,-1053969981.0,4424097269.0,-46.81,-44.4,-150.68,-18.86,129.44,-13.06,적자전환,80910000000.0,18000000.0,2026-09-22,-249.11,1907.56,,2.36,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
007700,F&F홀딩스,KOSPI,00126487,F&F 홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,960679046429.0,222942392922.0,225488862371.0,4287911102101.0,494201850563.0,3793709251538.0,884431002103.0,190092192062.0,127776410145.0,8.62,17.28,76.47,23.21,13.03,11.89,흑자지속,522176799450.0,39114367.0,2026-09-22,11529.72,96990.17,1.16,0.14,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
009835,한화솔루션우,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
010640,진양폴리,KOSPI,00160375,진양폴리우레탄,OPENDART_OFFICIAL_DOWNLOAD,MATCH_NORMALIZED,동일 종목코드 후보 중 법인표기 제거 후 회사명 일치,1,NAME_CONTAINS,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,27357923392.0,2064681997.0,1857391019.0,105900943185.0,60332792494.0,45568150691.0,22946895113.0,771961278.0,905281069.0,19.22,167.46,105.17,7.55,132.4,8.15,흑자지속,34068000000.0,16700000.0,2026-09-22,222.44,2728.63,9.17,0.75,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:46+09:00
011150,CJ씨푸드,KOSPI,00129013,CJ씨푸드,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,103204495159.0,-2049558784.0,-544537489.0,171050439205.0,82589365918.0,88461073287.0,95002459647.0,-2488750936.0,526174751.0,8.63,17.65,-203.49,-1.99,93.36,-1.23,적자전환,67477991694.0,35930773.0,2026-09-22,-30.31,2461.99,,0.76,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:47+09:00
011760,현대코퍼레이션,KOSPI,00164812,현대코퍼레이션,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,4889105580015.0,108999309980.0,51354969583.0,3217401986046.0,2450573201922.0,766828784124.0,3775351128652.0,71533773768.0,39576126699.0,29.5,52.37,29.76,2.23,319.57,13.39,흑자지속,343291667700.0,13228966.0,2026-09-22,7764.02,57965.89,3.34,0.45,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:47+09:00
011930,신성이엔지,KOSPI,00136271,신성이엔지,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,355493462597.0,829700291.0,-5945095509.0,637604519445.0,420712671880.0,216891847565.0,256269852312.0,-1879430787.0,-6876306778.0,38.72,144.15,13.54,0.23,193.97,-5.48,적자지속,336270373920.0,20306182.0,2026-09-22,-585.55,10681.07,,1.55,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:47+09:00
012320,경동인베스트,KOSPI,00143527,경동인베스트,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,116721728891.0,-579245444.0,3458030266.0,616046163468.0,115853100629.0,500193062839.0,118252421820.0,933900916.0,4281225560.0,-1.29,-162.02,-19.23,-0.5,23.16,1.38,흑자지속,104534016600.0,2365023.0,2026-09-22,2924.31,211496.07,15.11,0.21,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:47+09:00
012630,HDC,KOSPI,00164636,HDC,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,2777105516340.0,408727576312.0,363949049076.0,12712824072791.0,6947441389271.0,5765382683520.0,3384499967085.0,321258360106.0,207235161164.0,-17.95,27.23,75.62,14.72,120.5,12.63,흑자지속,1544323487850.0,59741721.0,2026-09-22,12184.08,96505.13,2.12,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:48+09:00
012690,모나리자,KOSPI,00173102,모나리자,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,66818621043.0,1442824786.0,927866497.0,103377134929.0,16850863233.0,86526271696.0,61480790217.0,53385284.0,297413133.0,8.68,2602.66,211.98,2.16,19.47,2.14,흑자지속,51858039590.0,36571255.0,2026-09-22,50.74,2365.96,27.94,0.6,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:48+09:00
013520,화승코퍼레이션,KOSPI,00166272,화승코퍼레이션,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,870509648979.0,47481424039.0,40178849323.0,1319374909258.0,866492815446.0,452882093812.0,829458313153.0,55963235235.0,36178251528.0,4.95,-15.16,11.06,5.45,191.33,17.74,흑자지속,122375311140.0,50051252.0,2026-09-22,1605.51,9048.37,1.52,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:48+09:00
013580,계룡건설,KOSPI,00102432,계룡건설산업,OPENDART_OFFICIAL_DOWNLOAD,MATCH_NORMALIZED,동일 종목코드 후보 중 법인표기 제거 후 회사명 일치,1,NAME_CONTAINS,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1510781958190.0,109801648114.0,61155354661.0,3467986072094.0,2424907502660.0,1043078569434.0,1402638501438.0,80130642485.0,42038639463.0,7.71,37.03,45.47,7.27,232.48,11.73,흑자지속,204517770300.0,8930907.0,2026-09-22,13695.22,116794.25,1.67,0.2,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:48+09:00
013870,지엠비코리아,KOSPI,00156354,지엠비코리아,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,416112416013.0,13513973615.0,11952721563.0,719772481712.0,403513183962.0,316259297750.0,379699078896.0,11496917170.0,5503824807.0,9.59,17.54,117.17,3.25,127.59,7.56,흑자지속,72760748200.0,19072280.0,2026-09-22,1253.41,16582.14,3.04,0.23,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:48+09:00
014530,극동유화,KOSPI,00105156,극동유화,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,505431181666.0,18646212474.0,11652744690.0,551350777081.0,313245747952.0,238105029129.0,486669963328.0,9115640467.0,1269997688.0,3.86,104.55,817.54,3.69,131.56,9.79,흑자지속,114197350500.0,34869420.0,2026-09-22,668.36,6828.48,4.9,0.48,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:49+09:00
