basis_date,market,ticker,name,status,benchmark_ticker,benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,missing_reason
2026-09-11,KOSPI,010950,S-Oil,READY,1008,화학,3.6644,30.9247,
2026-09-11,KOSPI,011070,LG이노텍,READY,1013,전기전자,-16.0517,-35.5562,
2026-09-11,KOSPI,011200,HMM,READY,1019,운송·창고,-5.0377,1.2144,
2026-09-11,KOSPI,011780,금호석유화학,READY,1008,화학,-4.2301,2.6429,
2026-09-11,KOSPI,012160,영흥,READY,1011,금속,-6.3598,493.0161,
2026-09-11,KOSPI,012170,아센디오,READY,1047,오락·문화,289.9744,194.2348,
2026-09-11,KOSPI,012280,영화금속,READY,1015,운송장비·부품,375.9937,371.875,
2026-09-11,KOSPI,012330,현대모비스,READY,1015,운송장비·부품,-10.2637,-5.3944,
2026-09-11,KOSPI,012450,한화에어로스페이스,READY,1015,운송장비·부품,4.3333,29.0777,
2026-09-11,KOSPI,012690,모나리자,READY,1007,종이·목재,-4.6322,-15.8257,
2026-09-11,KOSPI,012750,에스원,READY,1026,일반서비스,-1.1071,3.4166,
2026-09-11,KOSPI,013360,일성건설,READY,1018,건설,-23.8849,10.1187,
2026-09-11,KOSPI,013570,디와이,READY,1021,금융,-4.3122,15.5564,
2026-09-11,KOSPI,014160,대영포장,READY,1007,종이·목재,-8.9534,-20.7095,
2026-09-11,KOSPI,014990,인디에프,READY,1006,섬유·의류,126.0186,775.1837,
2026-09-11,KOSPI,017670,SK텔레콤,READY,1020,통신,3.7797,0.0479,
2026-09-11,KOSPI,018260,삼성에스디에스,READY,1046,IT 서비스,1.8485,10.9038,
2026-09-11,KOSPI,019680,대교,READY,1026,일반서비스,50.939,57.2712,
2026-09-11,KOSPI,020000,한섬,READY,1006,섬유·의류,-3.1649,-21.4773,
2026-09-11,KOSPI,020120,키다리스튜디오,READY,1046,IT 서비스,132.6545,163.1847,
2026-09-11,KOSPI,020560,아시아나항공,READY,1019,운송·창고,6.8036,3.5075,
2026-09-11,KOSPI,021240,코웨이,READY,1026,일반서비스,-9.6939,0.7671,
2026-09-11,KOSPI,022100,포스코DX,READY,1026,일반서비스,-2.7538,-20.9769,
2026-09-11,KOSPI,023960,에쓰씨엔지니어링,READY,1018,건설,-7.5503,0.2383,
2026-09-11,KOSPI,024720,콜마홀딩스,READY,1021,금융,-11.5515,16.7585,
2026-09-11,KOSPI,025860,남해화학,READY,1008,화학,1.7863,-2.8249,
2026-09-11,KOSPI,028050,삼성E&A,READY,1026,일반서비스,-3.047,9.2537,
2026-09-11,KOSPI,028260,삼성물산,READY,1016,유통,4.6723,2.6747,
2026-09-11,KOSPI,028670,팬오션,READY,1019,운송·창고,2.9828,11.325,
2026-09-11,KOSPI,029530,신도리코,READY,1013,전기전자,-19.7149,5.4575,
2026-09-11,KOSPI,029780,삼성카드,READY,1021,금융,-9.6552,-2.0035,
2026-09-11,KOSPI,032830,삼성생명,READY,1025,보험,-2.2545,-11.6508,
2026-09-11,KOSPI,033240,자화전자,READY,1013,전기전자,-15.1426,-8.6378,
2026-09-11,KOSPI,033780,KT&G,READY,1005,음식료·담배,-2.2718,-5.8763,
2026-09-11,KOSPI,034020,두산에너빌리티,READY,1012,기계·장비,7.0381,9.6459,
2026-09-11,KOSPI,034730,SK,READY,1021,금융,5.6897,3.2351,
2026-09-11,KOSPI,035420,NAVER,READY,1046,IT 서비스,4.4619,6.1414,
2026-09-11,KOSPI,035720,카카오,READY,1046,IT 서비스,-7.2668,1.7402,
2026-09-11,KOSPI,036570,NC,READY,1046,IT 서비스,-11.6029,-7.0076,
2026-09-11,KOSPI,036580,팜스코,READY,1005,음식료·담배,-2.8788,2.4763,
2026-09-11,KOSDAQ,036930,주성엔지니어링,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,039490,키움증권,READY,1024,증권,-2.0826,4.8752,
2026-09-11,KOSDAQ,041190,우리기술투자,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,042660,한화오션,READY,1015,운송장비·부품,2.0614,4.3841,
2026-09-11,KOSPI,042700,한미반도체,READY,1012,기계·장비,-1.0709,-13.4558,
2026-09-11,KOSPI,044380,주연테크,READY,1013,전기전자,-41.6578,-44.1772,
2026-09-11,KOSPI,047040,대우건설,READY,1018,건설,1.3817,-12.6696,
2026-09-11,KOSPI,047050,포스코인터내셔널,READY,1016,유통,0.9931,12.474,
2026-09-11,KOSPI,047810,한국항공우주,READY,1015,운송장비·부품,2.1916,14.4364,
2026-09-11,KOSPI,051905,LG생활건강우,READY,1008,화학,-10.6749,0.7739,
2026-09-11,KOSPI,051910,LG화학,READY,1008,화학,-2.6328,-15.4454,
2026-09-11,KOSPI,052690,한전기술,READY,1026,일반서비스,45.3755,27.873,
2026-09-11,KOSPI,055550,신한지주,READY,1021,금융,2.0868,18.0079,
2026-09-11,KOSPI,058730,다스코,READY,1011,금속,-7.4466,33.4126,
2026-09-11,KOSPI,058860,KTis,READY,1046,IT 서비스,7.7713,12.7934,
2026-09-11,KOSDAQ,060250,NHN KCP,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSDAQ,060370,LS마린솔루션,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,062040,산일전기,READY,1013,전기전자,-7.4331,7.0302,
2026-09-11,KOSPI,063160,종근당바이오,READY,1009,제약,0.5711,-23.5349,
2026-09-11,KOSDAQ,064260,다날,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,064350,현대로템,READY,1015,운송장비·부품,-6.3532,-11.6593,
2026-09-11,KOSPI,064400,LG씨엔에스,READY,1046,IT 서비스,3.0724,-8.7343,
2026-09-11,KOSPI,066570,LG전자,READY,1013,전기전자,-5.1624,2.0651,
2026-09-11,KOSPI,066575,LG전자우,READY,1013,전기전자,-8.8394,5.7701,
2026-09-11,KOSDAQ,067310,하나마이크론,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,068270,셀트리온,READY,1009,제약,-4.1964,0.1702,
2026-09-11,KOSPI,069620,대웅제약,READY,1009,제약,-2.8412,-14.0325,
2026-09-11,KOSPI,071050,한국금융지주,READY,1021,금융,-8.2231,-14.3301,
2026-09-11,KOSPI,071840,롯데하이마트,READY,1016,유통,-6.7369,7.8514,
2026-09-11,KOSPI,072130,유엔젤,READY,1046,IT 서비스,9.1936,11.0127,
2026-09-11,KOSPI,073240,금호타이어,READY,1008,화학,-4.2625,61.3518,
2026-09-11,KOSDAQ,078340,컴투스,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,078520,에이블씨엔씨,READY,1008,화학,-26.442,-8.8704,
2026-09-11,KOSPI,079550,LIG디펜스앤에어로스페이스,READY,1011,금속,-9.058,-7.3361,
2026-09-11,KOSPI,081000,일진다이아,READY,1008,화학,6.0291,-4.4464,
2026-09-11,KOSPI,082740,한화엔진,READY,1012,기계·장비,3.0064,7.562,
2026-09-11,KOSPI,085620,미래에셋생명,READY,1025,보험,5.6165,-28.2994,
2026-09-11,KOSPI,086280,현대글로비스,READY,1019,운송·창고,2.1314,-2.9095,
2026-09-11,KOSDAQ,086450,동국제약,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSDAQ,086520,에코프로,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,086790,하나금융지주,READY,1021,금융,1.9577,21.5308,
2026-09-11,KOSPI,088350,한화생명,READY,1025,보험,18.3004,30.2079,
2026-09-11,KOSPI,088980,맥쿼리인프라,READY,1021,금융,-7.8553,-8.934,
2026-09-11,KOSPI,090430,아모레퍼시픽,READY,1008,화학,0.0629,23.9695,
2026-09-11,KOSPI,090460,비에이치,READY,1013,전기전자,-9.9919,-11.4744,
2026-09-11,KOSPI,091810,트리니티항공,READY,1019,운송·창고,333.1623,258.1719,
2026-09-11,KOSPI,092790,넥스틸,READY,1011,금속,10.2598,7.7471,
2026-09-11,KOSDAQ,095610,테스,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSDAQ,096530,씨젠,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,096770,SK이노베이션,READY,1008,화학,14.4123,38.6088,
2026-09-11,KOSPI,097950,CJ제일제당,READY,1005,음식료·담배,-2.1842,-6.3952,
2026-09-11,KOSPI,097955,CJ제일제당 우,READY,1005,음식료·담배,-0.1213,0.4037,
2026-09-11,KOSPI,100250,진양홀딩스,READY,1008,화학,1.3686,4.7503,
2026-09-11,KOSDAQ,100790,미래에셋벤처투자,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,100840,SNT에너지,READY,1012,기계·장비,22.6462,21.8821,
2026-09-11,KOSPI,103590,일진전기,READY,1013,전기전자,-0.0721,5.0504,
2026-09-11,KOSPI,105560,KB금융,READY,1021,금융,0.8312,18.9217,
2026-09-11,KOSDAQ,108230,톱텍,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,128940,한미약품,READY,1009,제약,23.4967,5.8454,
2026-09-11,KOSPI,130660,한전산업,READY,1026,일반서비스,7.7651,4.8165,
2026-09-11,KOSPI,138930,BNK금융지주,READY,1021,금융,0.9613,-3.7953,
2026-09-11,KOSPI,139480,이마트,READY,1016,유통,-10.4197,-3.4665,
2026-09-11,KOSPI,181710,NHN,READY,1046,IT 서비스,12.0256,54.6023,
2026-09-11,KOSPI,195870,해성디에스,READY,1013,전기전자,-26.129,-24.2809,
2026-09-11,KOSPI,207940,삼성바이오로직스,READY,1009,제약,-0.9092,2.9811,
2026-09-11,KOSPI,214320,이노션,READY,1026,일반서비스,-12.517,-13.051,
2026-09-11,KOSPI,214420,토니모리,READY,1008,화학,-14.5781,-6.1131,
2026-09-11,KOSDAQ,214450,파마리서치,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,217590,티엠씨,READY,1013,전기전자,-38.1226,-37.3103,
2026-09-11,KOSPI,234080,JW생명과학,READY,1009,제약,4.8448,-8.66,
2026-09-11,KOSDAQ,234690,녹십자웰빙,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,241590,화승엔터프라이즈,READY,1006,섬유·의류,-11.0322,-14.5377,
2026-09-11,KOSDAQ,247540,에코프로비엠,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,249420,일동제약,READY,1009,제약,9.5423,-24.5513,
2026-09-11,KOSDAQ,257720,실리콘투,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSDAQ,261780,아리바이오랩,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSDAQ,263750,펄어비스,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,267250,HD현대,READY,1021,금융,4.2935,2.3107,
2026-09-11,KOSPI,267260,HD현대일렉트릭,READY,1013,전기전자,-13.8763,-13.8956,
2026-09-11,KOSPI,267270,HD건설기계,READY,1012,기계·장비,-9.1695,6.7435,
2026-09-11,KOSPI,271940,일진하이솔루스,READY,1015,운송장비·부품,7.93,11.5759,
2026-09-11,KOSPI,271980,제일약품,READY,1009,제약,7.0644,-7.5426,
2026-09-11,KOSPI,272210,한화시스템,READY,1013,전기전자,-17.7023,-6.1866,
2026-09-11,KOSPI,278470,에이피알,READY,1008,화학,-5.7697,-11.0801,
2026-09-11,KOSPI,286940,롯데이노베이트,READY,1046,IT 서비스,-0.1676,6.3363,
2026-09-11,KOSDAQ,293490,카카오게임즈,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,298000,효성화학,READY,1008,화학,-26.2018,40.4581,
2026-09-11,KOSPI,298040,효성중공업,READY,1013,전기전자,-14.1464,1.7144,
2026-09-11,KOSPI,298690,에어부산,READY,1019,운송·창고,-2.3268,-14.1907,
2026-09-11,KOSPI,307950,현대오토에버,READY,1046,IT 서비스,-1.86,-31.1165,
2026-09-11,KOSDAQ,317330,덕산테코피아,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,317400,자이에스앤디,READY,1045,부동산,35.3833,231.1061,
2026-09-11,KOSPI,329180,HD현대중공업,READY,1015,운송장비·부품,1.1102,-3.3812,
2026-09-11,KOSPI,336260,두산퓨얼셀,READY,1013,전기전자,22.506,-16.9893,
2026-09-11,KOSPI,353200,대덕전자,READY,1013,전기전자,-19.4478,-22.4337,
2026-09-11,KOSPI,357250,미래에셋맵스리츠,READY,1045,부동산,-3.1843,-0.8824,
2026-09-11,KOSDAQ,357780,솔브레인,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,361610,SK아이이테크놀로지,READY,1013,전기전자,-5.3005,-4.7946,
2026-09-11,KOSPI,373220,LG에너지솔루션,READY,1013,전기전자,-13.4073,7.4189,
2026-09-11,KOSPI,377300,카카오페이,READY,1021,금융,-2.9448,4.7326,
