rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
11,🟡,066570,LG전자,KOSPI,2026-09-23,209000,"195,800원~207,000원","215,500원~222,500원","약 ±5,260원 내외 (±2.57%)",1.8,193200.0,141900.0,231500.0,63.14,74.89,4.6,3.47,546536,144677094842,False,False,129.0,1개월 추세 양호 4.6%; 거래대금 우수; 변동성 적정 2.57%; 3개월 변동폭 유효 63.1%; 대형주 안정성,3252805000000,KRW,FALSE,2026 반기보고서,OK,00401731,LG전자,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,47553695000000.0,1786410000000.0,73696206000000.0,41778571000000.0,31917635000000.0,43474954000000.0,1898463000000.0,1485261000000.0,9.38,71.34,20.28,6.84,130.89,11.19,흑자지속,33880004704000.0,162884638.0,2026-08-18,21934.67,195952.4,9.48,1.06,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-24T10:37:27+09:00
12,🟡,055550,신한지주,KOSPI,2026-09-23,109300,"104,400원~108,200원","112,600원~116,000원","약 ±1,975원 내외 (±1.77%)",1.7,103400.0,89400.0,116500.0,30.31,73.43,5.81,11.87,895919,123582061521,False,False,129.0,1개월 추세 양호 5.8%; 거래대금 우수; 변동성 적정 1.77%; 3개월 변동폭 유효 30.3%; 대형주 안정성,4630734000000,KRW,FALSE,2026 반기보고서,OK,00382199,신한지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,14354098000000.0,3495799000000.0,840894337000000.0,778374567000000.0,62519770000000.0,14035110000000.0,3958471000000.0,3094280000000.0,2.27,16.98,12.98,32.26,1245.01,11.18,흑자지속,52672316815800.0,469450239.0,2026-09-15,14893.16,133176.56,7.53,0.84,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260902,주식등의대량보유상황보고서(약식),2,2026-09-24T10:37:27+09:00
13,🟡,086790,하나금융지주,KOSPI,2026-09-23,133100,"127,100원~131,800원","137,100원~141,200원","약 ±2,395원 내외 (±1.75%)",2.2,125900.0,107600.0,142500.0,32.43,73.07,3.42,15.24,648296,102570209719,False,False,129.0,1개월 추세 양호 3.4%; 거래대금 우수; 변동성 적정 1.75%; 3개월 변동폭 유효 32.4%; 대형주 안정성,3247984000000,KRW,FALSE,2026 반기보고서,OK,00547583,하나금융지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,11442769000000.0,2436746000000.0,713462782000000.0,665015628000000.0,48447154000000.0,11278504000000.0,2982248000000.0,2323229000000.0,1.46,8.91,4.89,28.38,1372.66,10.06,흑자지속,37285459616000.0,270969910.0,2026-09-15,17985.36,178791.64,7.65,0.77,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260921,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-09-24T10:37:27+09:00
14,🟡,000720,현대건설,KOSPI,2026-09-23,121100,"111,900원~119,900원","127,900원~135,600원","약 ±3,685원 내외 (±2.93%)",2.1,110000.0,77700.0,142000.0,82.75,67.5,14.68,5.21,1201523,94307658985,False,False,129.0,1개월 추세 양호 14.7%; 매수위치 중립 67.5%; 거래대금 양호; 변동성 적정 2.93%; 대형주 안정성,442716000000,KRW,FALSE,2026 반기보고서,OK,00164478,현대건설,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,2,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,13123568000000.0,363741000000.0,28629147000000.0,17411335000000.0,11217812000000.0,15176299000000.0,430698000000.0,323796000000.0,-13.53,2.79,12.34,3.37,155.21,6.49,흑자지속,14275809073000.0,111355765.0,2026-09-14,6532.95,100738.49,19.62,1.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260918,임원ㆍ주요주주특정증권등소유상황보고서,14,2026-09-24T10:37:27+09:00
15,🟡,010120,LS ELECTRIC,KOSPI,2026-09-23,205500,"190,100원~203,500원","219,000원~230,000원","약 ±6,170원 내외 (±3.03%)",2.4,187000.0,148000.0,270000.0,82.43,47.13,6.86,-11.61,332290,93964578977,False,False,129.0,1개월 추세 양호 6.9%; 매수위치 중립 47.1%; 거래대금 양호; 변동성 적정 3.03%; 대형주 안정성,305087151603,KRW,FALSE,2026 반기보고서,OK,,,,MISMATCH,KRX 종목명=LS ELECTRIC; OpenDART 후보=엘에스일렉트릭,1,NO_NAME_MATCH,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"자사주처분,주요주주변동",20260804,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-09-24T10:37:27+09:00
16,🟡,034730,SK,KOSPI,2026-09-23,611000,"570,000원~605,000원","647,000원~677,000원","약 ±16,550원 내외 (±2.91%)",1.9,561000.0,450000.0,883000.0,96.22,37.18,11.29,-13.33,129962,73863756475,False,False,129.0,1개월 추세 양호 11.3%; 매수위치 중립 37.2%; 거래대금 양호; 변동성 적정 2.91%; 대형주 안정성,8514366000000,KRW,FALSE,2026 반기보고서,OK,00181712,SK,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,78954891000000.0,29014813000000.0,244883396000000.0,127104741000000.0,117778655000000.0,61177274000000.0,636672000000.0,4567523000000.0,29.06,1237.32,535.24,10.78,107.92,49.27,흑자지속,42776594770000.0,72502703.0,2026-08-18,800378.79,1624472.61,0.74,0.36,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,자사주처분,주요주주변동",20260828,임원ㆍ주요주주특정증권등소유상황보고서,9,2026-09-24T10:37:27+09:00
17,🟡,001440,대한전선,KOSPI,2026-09-23,30950,"28,500원~30,650원","33,100원~34,900원",약 ±982원 내외 (±3.38%),2.2,28000.0,20550.0,38850.0,89.05,56.83,15.92,-10.81,3032595,73608209930,False,False,129.0,1개월 추세 양호 15.9%; 매수위치 중립 56.8%; 거래대금 양호; 변동성 적정 3.38%; 대형주 안정성,121253493410,KRW,FALSE,2026 반기보고서,OK,00113207,대한전선,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,2282028749853.0,-95023703274.0,4010791621989.0,2097060240101.0,1913731381888.0,1771811984166.0,55668058183.0,6341805493.0,28.8,117.82,-1598.37,5.31,109.58,-9.93,적자전환,5624987505200.0,195992596.0,2026-08-18,-969.67,9764.3,,2.94,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-24T10:37:27+09:00
18,🟡,272210,한화시스템,KOSPI,2026-09-23,73900,"67,200원~73,100원","79,800원~84,600원","약 ±2,685원 내외 (±3.69%)",2.1,65800.0,50700.0,91500.0,80.47,56.86,5.42,-9.77,954059,40064594327,False,False,129.0,1개월 추세 양호 5.4%; 매수위치 중립 56.9%; 거래대금 양호; 변동성 적정 3.69%; 대형주 안정성,137936376118,KRW,FALSE,2026 반기보고서,OK,00339391,한화시스템,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1924650844657.0,-43009026685.0,11847324865195.0,7275666173295.0,4571658691900.0,1458291254404.0,66149380765.0,70737725135.0,31.98,108.52,-160.8,7.17,159.15,-1.88,적자전환,14452333258500.0,188919389.0,2026-09-21,-455.32,24198.99,,3.16,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260918,주식등의대량보유상황보고서(일반),2,2026-09-24T10:37:27+09:00
19,🟡,006260,LS,KOSPI,2026-09-23,321500,"300,500원~318,500원","340,000원~355,000원","약 ±8,350원 내외 (±2.72%)",2.1,296500.0,221000.0,421000.0,90.5,50.25,11.44,-11.07,71796,33276997825,False,False,129.0,1개월 추세 양호 11.4%; 매수위치 중립 50.2%; 거래대금 양호; 변동성 적정 2.72%; 대형주 안정성,1071657000000,KRW,FALSE,2026 반기보고서,OK,00105952,LS,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,20528009000000.0,538587000000.0,29864460000000.0,21786698000000.0,8077762000000.0,14767998000000.0,540145000000.0,304470000000.0,39.0,98.4,76.89,5.22,269.71,13.34,흑자지속,10717200000000.0,31200000.0,2026-08-18,34524.81,258902.63,9.95,1.33,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"EB,EB발행,대량보유,자사주처분,주요주주변동",20260911,[기재정정]교환사채권발행결정              ,5,2026-09-24T10:37:27+09:00
20,🟡,082740,한화엔진,KOSPI,2026-09-23,47600,"44,300원~47,100원","50,500원~52,900원","약 ±1,315원 내외 (±2.72%)",1.7,43650.0,35800.0,58400.0,63.13,52.21,6.01,-11.03,735004,37803811251,False,False,128.0,1개월 추세 양호 6.0%; 매수위치 중립 52.2%; 거래대금 양호; 변동성 적정 2.72%; 3개월 변동폭 유효 63.1%,89289654611,KRW,FALSE,2026 반기보고서,OK,00361008,한화엔진,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,707459322760.0,86053176302.0,2170764681844.0,1521016800560.0,649747881284.0,705882395250.0,56087570107.0,40965169993.0,0.22,59.2,110.06,12.62,234.09,26.49,흑자지속,4026324601500.0,83447142.0,2026-08-28,2062.46,7786.34,23.39,6.2,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260810,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-09-24T10:37:27+09:00
