ticker,name,market,financial_blocker_occurrences,financial_blocker_reasons,recovery_lane,recovery_note,financial_cache_row_present,raw_score_cache_row_present,corp_code,corp_name,corp_identity_status,corp_identity_reason,financial_source_status,financial_data_status,valuation_data_status,financial_basis,net_income,per_annualized
051910,LG화학,KOSPI,1,PER:MISSING_PER,INTENTIONAL_LOSS_PER_NA,Financial source is complete; PER is intentionally undefined for non-positive annualized earnings.,TRUE,TRUE,00356361,LG화학,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,OK,READY,PARTIAL_LOSS_PER_NA,2026 반기보고서,-715104000000.0,
058650,세아홀딩스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
070960,모나용평,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
071950,코아스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
097520,엠씨넥스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
108675,LX하우시스우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,PREFERRED_SHARE_NO_CORP_CODE,Official corpCode stock-code mapping has no separate preferred-share issuer row.,TRUE,FALSE,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
145990,삼양사,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
241590,화승엔터프라이즈,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
298000,효성화학,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
298050,HS효성첨단소재,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
363280,티와이홀딩스,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
446070,유니드비티플러스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,STALE_DEPENDENT_CACHE_ROW_MISSING,Current production ticker is absent from financial cache.,FALSE,FALSE,,,,,,,,,,
