stock_code,corp_code,corp_name,modify_date,source,stock_code_candidate_count
003120,00146214,일성아이에스,20260615,OPENDART_OFFICIAL_DOWNLOAD,1
003160,00118275,디아이,20221205,OPENDART_OFFICIAL_DOWNLOAD,1
003190,00112004,알앤엘재생의학연구소,20260420,OPENDART_OFFICIAL_DOWNLOAD,1
003200,00146269,일신방직,20221202,OPENDART_OFFICIAL_DOWNLOAD,1
003220,00111999,대원제약,20250102,OPENDART_OFFICIAL_DOWNLOAD,1
003230,00126955,삼양식품,20260126,OPENDART_OFFICIAL_DOWNLOAD,1
003240,00153393,태광산업,20260402,OPENDART_OFFICIAL_DOWNLOAD,1
003280,00167208,흥아해운,20231010,OPENDART_OFFICIAL_DOWNLOAD,1
003300,00162993,한일홀딩스,20230112,OPENDART_OFFICIAL_DOWNLOAD,1
003310,00112457,대주산업,20260320,OPENDART_OFFICIAL_DOWNLOAD,1
003330,00115038,하나IB증권,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003350,00160621,한국화장품제조,20221206,OPENDART_OFFICIAL_DOWNLOAD,1
003380,00148364,하림지주,20230220,OPENDART_OFFICIAL_DOWNLOAD,1
003410,00138224,쌍용씨앤이,20260331,OPENDART_OFFICIAL_DOWNLOAD,1
003450,00164876,케이비증권,20260325,OPENDART_OFFICIAL_DOWNLOAD,1
003460,00145190,유화증권,20250327,OPENDART_OFFICIAL_DOWNLOAD,1
003470,00117601,유안타증권,20240401,OPENDART_OFFICIAL_DOWNLOAD,1
003480,00163673,한진중공업홀딩스,20260306,OPENDART_OFFICIAL_DOWNLOAD,1
003490,00113526,대한항공,20260316,OPENDART_OFFICIAL_DOWNLOAD,1
003520,00141149,영진약품,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
003530,00148610,한화투자증권,20250902,OPENDART_OFFICIAL_DOWNLOAD,1
003540,00110893,대신증권,20260325,OPENDART_OFFICIAL_DOWNLOAD,1
003550,00120021,LG,20221220,OPENDART_OFFICIAL_DOWNLOAD,1
003560,00154426,아이에이치큐,20260601,OPENDART_OFFICIAL_DOWNLOAD,1
003570,00134477,SNT다이내믹스,20260326,OPENDART_OFFICIAL_DOWNLOAD,1
003580,00169048,HLB글로벌,20260316,OPENDART_OFFICIAL_DOWNLOAD,1
003590,00103583,광덕물산,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003600,00144155,SK,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003610,00122348,방림,20220831,OPENDART_OFFICIAL_DOWNLOAD,1
003620,00138242,KG모빌리티,20250604,OPENDART_OFFICIAL_DOWNLOAD,1
003640,00140380,유니온스틸,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003650,00122056,미창석유공업,20251208,OPENDART_OFFICIAL_DOWNLOAD,1
003660,00102821,고려시멘트,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003670,00155276,포스코퓨처엠,20250325,OPENDART_OFFICIAL_DOWNLOAD,1
003680,00161860,한성기업,20230223,OPENDART_OFFICIAL_DOWNLOAD,1
003690,00113191,코리안리,20250414,OPENDART_OFFICIAL_DOWNLOAD,1
003720,00127255,삼영,20230424,OPENDART_OFFICIAL_DOWNLOAD,1
003780,00150439,진양산업,20250314,OPENDART_OFFICIAL_DOWNLOAD,1
003800,00140052,에이스침대,20230215,OPENDART_OFFICIAL_DOWNLOAD,1
003830,00113544,대한화섬,20250502,OPENDART_OFFICIAL_DOWNLOAD,1
003850,00123143,보령,20260318,OPENDART_OFFICIAL_DOWNLOAD,1
003900,00164292,동원데어리푸드,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
003920,00107598,남양유업,20251203,OPENDART_OFFICIAL_DOWNLOAD,1
003930,00124513,부흥,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
003940,00132105,삼양제넥스,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
003960,00109718,사조대림,20230221,OPENDART_OFFICIAL_DOWNLOAD,1
003990,00136235,BHK,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
004000,00157681,롯데정밀화학,20250321,OPENDART_OFFICIAL_DOWNLOAD,1
004010,00121729,롯데미도파,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
004020,00145880,현대제철,20251226,OPENDART_OFFICIAL_DOWNLOAD,1
004060,00133511,SG세계물산,20221209,OPENDART_OFFICIAL_DOWNLOAD,1
004080,00173795,신흥,20260402,OPENDART_OFFICIAL_DOWNLOAD,1
004090,00157991,한국석유공업,20250331,OPENDART_OFFICIAL_DOWNLOAD,1
004100,00153755,태양금속공업,20221214,OPENDART_OFFICIAL_DOWNLOAD,1
004130,00109170,대덕GDS,20181219,OPENDART_OFFICIAL_DOWNLOAD,1
004140,00115287,동방,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
004150,00171636,한솔홀딩스,20240328,OPENDART_OFFICIAL_DOWNLOAD,1
004170,00136378,신세계,20240322,OPENDART_OFFICIAL_DOWNLOAD,1
004190,00147949,스마텔,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
004200,00102681,고려개발,20200721,OPENDART_OFFICIAL_DOWNLOAD,1
004230,00133928,세신,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
004250,00108038,엔피씨,20250401,OPENDART_OFFICIAL_DOWNLOAD,1
004270,00172185,남성,20260310,OPENDART_OFFICIAL_DOWNLOAD,1
004310,00164706,현대약품,20240701,OPENDART_OFFICIAL_DOWNLOAD,1
004320,00144766,호반산업,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
004360,00133812,세방,20230214,OPENDART_OFFICIAL_DOWNLOAD,1
004370,00108241,농심,20260323,OPENDART_OFFICIAL_DOWNLOAD,1
004380,00127802,삼익THK,20251202,OPENDART_OFFICIAL_DOWNLOAD,1
004410,00130879,서울식품공업,20260330,OPENDART_OFFICIAL_DOWNLOAD,1
004430,00134963,송원산업,20230215,OPENDART_OFFICIAL_DOWNLOAD,1
004440,00109806,삼일씨엔에스,20260805,OPENDART_OFFICIAL_DOWNLOAD,1
004450,00129235,삼화왕관,20241128,OPENDART_OFFICIAL_DOWNLOAD,1
004490,00133858,세방전지,20260303,OPENDART_OFFICIAL_DOWNLOAD,1
004510,00117382,디와이홀딩스,20221209,OPENDART_OFFICIAL_DOWNLOAD,1
004530,00151252,에스와이,20240628,OPENDART_OFFICIAL_DOWNLOAD,1
004540,00113492,깨끗한나라,20260812,OPENDART_OFFICIAL_DOWNLOAD,1
004550,00161028,대우송도개발,20170630,OPENDART_OFFICIAL_DOWNLOAD,1
