rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
11,🟡,012750,에스원,KOSPI,2026-07-21,70100,"67,700원~69,400원","74,800원~78,600원","약 ±2,355원 내외 (±3.10%)",1.7,67000,82000,22.39,20.67,1개월,0.86,-21.15,51857,5225932320,False,False,21,89.0,1개월 반등초입 20.7%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 높음 3.10%; 1개월 변동폭 적정 22.4%,89.0,1개월 반등초입 20.7%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 높음 3.10%; 1개월 변동폭 적정 22.4%,89.0,1개월 반등초입 20.7%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 높음 3.10%; 1개월 변동폭 적정 22.4%
12,🟡,086790,하나금융지주,KOSPI,2026-07-21,132600,"126,300원~131,300원","136,600원~140,700원","약 ±2,845원 내외 (±2.34%)",2.5,107600,142500,32.43,71.63,1개월,10.78,7.8,962672,122030316725,False,False,21,88.0,1개월 중상단 71.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.34%; 1개월 변동폭 적정 32.4%; 대형주 안정성,88.0,1개월 중상단 71.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.34%; 1개월 변동폭 적정 32.4%; 대형주 안정성,88.0,1개월 중상단 71.6%; 1개월 흐름 양호 10.8%; 거래 매우활발; 탄력 보통 2.34%; 1개월 변동폭 적정 32.4%; 대형주 안정성
13,🟡,047810,한국항공우주,KOSPI,2026-07-21,142500,"136,800원~141,100원","151,800원~159,300원","약 ±4,665원 내외 (±3.01%)",1.9,135400,166200,22.75,23.05,1개월,-4.1,-21.92,480033,66688298772,False,False,21,88.0,1개월 반등초입 23.1%; 1개월 조정 -4.1%; 거래 활발; 탄력 높음 3.01%; 1개월 변동폭 적정 22.8%; 대형주 안정성,88.0,1개월 반등초입 23.1%; 1개월 조정 -4.1%; 거래 활발; 탄력 높음 3.01%; 1개월 변동폭 적정 22.8%; 대형주 안정성,88.0,1개월 반등초입 23.1%; 1개월 조정 -4.1%; 거래 활발; 탄력 높음 3.01%; 1개월 변동폭 적정 22.8%; 대형주 안정성
14,🟡,024110,기업은행,KOSPI,2026-07-21,20550,"19,850원~20,350원","21,200원~21,800원",약 ±316원 내외 (±1.50%),2.7,19300,22150,14.77,43.86,1개월,0.0,-8.87,1457277,25128851887,False,False,21,88.0,1개월 중간권 43.9%; 1개월 흐름 양호 0.0%; 거래 보통; 탄력 보통 1.50%; 1개월 변동폭 적정 14.8%; 대형주 안정성,88.0,1개월 중간권 43.9%; 1개월 흐름 양호 0.0%; 거래 보통; 탄력 보통 1.50%; 1개월 변동폭 적정 14.8%; 대형주 안정성,88.0,1개월 중간권 43.9%; 1개월 흐름 양호 0.0%; 거래 보통; 탄력 보통 1.50%; 1개월 변동폭 적정 14.8%; 대형주 안정성
15,🟡,021240,코웨이,KOSPI,2026-07-21,93500,"88,800원~92,600원","96,700원~99,600원","약 ±2,150원 내외 (±2.40%)",1.7,83100,100500,20.94,59.77,1개월,8.72,14.86,120285,19500868920,False,False,21,88.0,1개월 중간권 59.8%; 1개월 흐름 양호 8.7%; 거래 보통; 탄력 보통 2.40%; 1개월 변동폭 적정 20.9%; 대형주 안정성,88.0,1개월 중간권 59.8%; 1개월 흐름 양호 8.7%; 거래 보통; 탄력 보통 2.40%; 1개월 변동폭 적정 20.9%; 대형주 안정성,88.0,1개월 중간권 59.8%; 1개월 흐름 양호 8.7%; 거래 보통; 탄력 보통 2.40%; 1개월 변동폭 적정 20.9%; 대형주 안정성
16,🟡,032640,LG유플러스,KOSPI,2026-07-21,14400,"13,950원~14,260원","14,890원~15,340원",약 ±331원 내외 (±2.15%),2.0,13810,15200,10.07,42.45,1개월,-0.55,-17.29,838128,14957255059,False,False,21,88.0,1개월 중간권 42.5%; 1개월 흐름 양호 -0.6%; 거래 보통; 탄력 보통 2.15%; 1개월 변동폭 적정 10.1%; 대형주 안정성,88.0,1개월 중간권 42.5%; 1개월 흐름 양호 -0.6%; 거래 보통; 탄력 보통 2.15%; 1개월 변동폭 적정 10.1%; 대형주 안정성,88.0,1개월 중간권 42.5%; 1개월 흐름 양호 -0.6%; 거래 보통; 탄력 보통 2.15%; 1개월 변동폭 적정 10.1%; 대형주 안정성
17,🟡,000270,기아,KOSPI,2026-07-21,144600,"133,600원~143,200원","154,600원~160,300원","약 ±5,000원 내외 (±3.21%)",2.0,130000,162900,25.31,44.38,1개월,-4.49,-9.62,870748,162613875812,False,False,21,87.0,1개월 중간권 44.4%; 1개월 조정 -4.5%; 거래 매우활발; 탄력 높음 3.21%; 1개월 변동폭 적정 25.3%; 대형주 안정성,87.0,1개월 중간권 44.4%; 1개월 조정 -4.5%; 거래 매우활발; 탄력 높음 3.21%; 1개월 변동폭 적정 25.3%; 대형주 안정성,87.0,1개월 중간권 44.4%; 1개월 조정 -4.5%; 거래 매우활발; 탄력 높음 3.21%; 1개월 변동폭 적정 25.3%; 대형주 안정성
18,🟡,071050,한국금융지주,KOSPI,2026-07-21,219000,"199,800원~217,000원","236,500원~250,500원","약 ±8,730원 내외 (±3.67%)",2.1,193000,263500,36.53,36.88,1개월,-0.9,-16.41,130912,58858354095,False,False,21,87.0,1개월 중간권 36.9%; 1개월 흐름 양호 -0.9%; 거래 활발; 탄력 높음 3.67%; 1개월 변동폭 큼 36.5%; 대형주 안정성,87.0,1개월 중간권 36.9%; 1개월 흐름 양호 -0.9%; 거래 활발; 탄력 높음 3.67%; 1개월 변동폭 큼 36.5%; 대형주 안정성,87.0,1개월 중간권 36.9%; 1개월 흐름 양호 -0.9%; 거래 활발; 탄력 높음 3.67%; 1개월 변동폭 큼 36.5%; 대형주 안정성
19,🟡,001450,현대해상,KOSPI,2026-07-21,37150,"35,150원~36,800원","38,500원~39,650원",약 ±912원 내외 (±2.56%),2.3,33300,39950,19.97,57.89,1개월,0.95,23.22,270849,16049347054,False,False,21,87.0,1개월 중간권 57.9%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.56%; 1개월 변동폭 적정 20.0%,87.0,1개월 중간권 57.9%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.56%; 1개월 변동폭 적정 20.0%,87.0,1개월 중간권 57.9%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.56%; 1개월 변동폭 적정 20.0%
20,🟡,192820,코스맥스,KOSPI,2026-07-21,172200,"162,100원~170,500원","178,800원~185,600원","약 ±4,585원 내외 (±2.54%)",2.3,141000,189500,34.4,64.33,1개월,10.38,-19.53,46441,14922874792,False,False,21,87.0,1개월 중간권 64.3%; 1개월 흐름 양호 10.4%; 거래 보통; 탄력 보통 2.54%; 1개월 변동폭 적정 34.4%,87.0,1개월 중간권 64.3%; 1개월 흐름 양호 10.4%; 거래 보통; 탄력 보통 2.54%; 1개월 변동폭 적정 34.4%,87.0,1개월 중간권 64.3%; 1개월 흐름 양호 10.4%; 거래 보통; 탄력 보통 2.54%; 1개월 변동폭 적정 34.4%
21,🟡,175330,JB금융지주,KOSPI,2026-07-21,26000,"24,500원~25,750원","27,350원~28,250원",약 ±679원 내외 (±2.61%),1.9,22200,28800,29.73,57.58,1개월,3.17,-15.99,258653,14714483791,False,False,21,87.0,1개월 중간권 57.6%; 1개월 흐름 양호 3.2%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 29.7%,87.0,1개월 중간권 57.6%; 1개월 흐름 양호 3.2%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 29.7%,87.0,1개월 중간권 57.6%; 1개월 흐름 양호 3.2%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 29.7%
22,🟡,279570,케이뱅크,KOSPI,2026-07-21,6180,"5,840원~6,120원","6,490원~6,740원",약 ±155원 내외 (±2.58%),1.9,5220,6910,32.38,56.8,1개월,-1.59,-2.52,1996203,14174876573,False,False,21,87.0,1개월 중간권 56.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 2.58%; 1개월 변동폭 적정 32.4%,87.0,1개월 중간권 56.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 2.58%; 1개월 변동폭 적정 32.4%,87.0,1개월 중간권 56.8%; 1개월 흐름 양호 -1.6%; 거래 보통; 탄력 보통 2.58%; 1개월 변동폭 적정 32.4%
