ticker,name,source_mode,source_ticker,source_corp_code,source_fs_div,account_id,account_nm,operating_cash_flow_annual,source_status,inheritance_evidence,note
015360,INVENI,CURRENT_FINANCIAL_CORP_IDENTITY,015360,00105101,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-70997876000.0,READY,,V8.13.2 current-universe official exact OCF
016800,퍼시스,CURRENT_FINANCIAL_CORP_IDENTITY,016800,00161709,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,28209055042.0,READY,,V8.13.2 current-universe official exact OCF
018260,삼성에스디에스,DIRECT_EXACT_IFRS,018260,00126186,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,1203327812666.0,READY,,
021240,코웨이,DIRECT_EXACT_IFRS,021240,00170558,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,35544145039.0,READY,,
022100,포스코DX,DIRECT_EXACT_IFRS,022100,00155212,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,145951092070.0,READY,,
024110,기업은행,CURRENT_FINANCIAL_CORP_IDENTITY,024110,00149646,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-3022146000000.0,READY,,V8.13.2 current-universe official exact OCF
026890,스틱인베스트먼트,CURRENT_FINANCIAL_CORP_IDENTITY,026890,00117498,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-5741329150.0,READY,,V8.13.2 current-universe official exact OCF
027740,마니커,CURRENT_FINANCIAL_CORP_IDENTITY,027740,00204208,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,6368546189.0,READY,,V8.13.2 current-universe official exact OCF
028050,삼성E&A,DIRECT_EXACT_IFRS,028050,00126308,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,254433358974.0,READY,,
029780,삼성카드,DIRECT_EXACT_IFRS,029780,00126292,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-1575026000000.0,READY,,
030000,제일기획,CURRENT_FINANCIAL_CORP_IDENTITY,030000,00148276,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,212279534936.0,READY,,V8.13.2 current-universe official exact OCF
030190,NICE평가정보,CURRENT_DART_STOCK_CODE_EXACT_NAME,030190,00158325,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,120877944271.0,READY,,V8.13.2 current-universe official exact OCF
030210,다올투자증권,CURRENT_FINANCIAL_CORP_IDENTITY,030210,00156859,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-265648144462.0,READY,,V8.13.2 current-universe official exact OCF
030720,동원수산,CURRENT_FINANCIAL_CORP_IDENTITY,030720,00118044,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,11483570824.0,READY,,V8.13.2 current-universe official exact OCF
031210,서울보증보험,CURRENT_FINANCIAL_CORP_IDENTITY,031210,00112998,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,387231449456.0,READY,,V8.13.2 current-universe official exact OCF
031820,아이티센씨티에스,CURRENT_DART_STOCK_CODE_EXACT_NAME,031820,00186559,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,64261763753.0,READY,,V8.13.2 current-universe official exact OCF
034020,두산에너빌리티,DIRECT_EXACT_IFRS,034020,00159616,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,751801000000.0,READY,,
034230,파라다이스,CURRENT_FINANCIAL_CORP_IDENTITY,034230,00171265,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,223864661526.0,READY,,V8.13.2 current-universe official exact OCF
034830,한국토지신탁,CURRENT_FINANCIAL_CORP_IDENTITY,034830,00233653,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-124622078410.0,READY,,V8.13.2 current-universe official exact OCF
035420,NAVER,DIRECT_EXACT_IFRS,035420,00266961,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,3095806604677.0,READY,,
037270,YG PLUS,CURRENT_FINANCIAL_CORP_IDENTITY,037270,00249247,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,27361290362.0,READY,,V8.13.2 current-universe official exact OCF
039130,하나투어,CURRENT_FINANCIAL_CORP_IDENTITY,039130,00269940,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,101086158079.0,READY,,V8.13.2 current-universe official exact OCF
039490,키움증권,CURRENT_FINANCIAL_CORP_IDENTITY,039490,00296290,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,-6399934098932.0,READY,,V8.13.2 current-universe official exact OCF
042700,한미반도체,DIRECT_EXACT_IFRS_V8130,042700,00161383,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,228626759780.0,READY,,V8.13.0 audited exact annual OCF
047050,포스코인터내셔널,DIRECT_EXACT_IFRS,047050,00124504,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,1941539030000.0,READY,,
047400,유니온머티리얼,CURRENT_FINANCIAL_CORP_IDENTITY,047400,00369833,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,11852669330.0,READY,,V8.13.2 current-universe official exact OCF
047810,한국항공우주,DIRECT_EXACT_IFRS,047810,00309503,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-903316343552.0,READY,,
051900,LG생활건강,CURRENT_DART_STOCK_CODE_EXACT_NAME,051900,00356370,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,446433049589.0,READY,,V8.13.2 current-universe official exact OCF
051910,LG화학,CURRENT_FINANCIAL_CORP_IDENTITY,051910,00356361,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,8233859000000.0,READY,,V8.13.2 current-universe official exact OCF
053690,한미글로벌,CURRENT_DART_STOCK_CODE_EXACT_NAME,053690,00413523,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,40808805338.0,READY,,V8.13.2 current-universe official exact OCF
055550,신한지주,CURRENT_FINANCIAL_CORP_IDENTITY,055550,00382199,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,9730881000000.0,READY,,V8.13.2 current-universe official exact OCF
066570,LG전자,DIRECT_EXACT_IFRS,066570,00401731,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4280500000000.0,READY,,
071050,한국금융지주,CURRENT_FINANCIAL_CORP_IDENTITY,071050,00432102,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동순현금흐름,-7607218000000.0,READY,,V8.13.2 current-universe official exact OCF
071840,롯데하이마트,DIRECT_EXACT_IFRS,071840,00158307,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,156549130675.0,READY,,
072130,유엔젤,DIRECT_EXACT_IFRS,072130,00416654,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,11937374667.0,READY,,
073240,금호타이어,CURRENT_FINANCIAL_CORP_IDENTITY,073240,00481454,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,915296220859.0,READY,,V8.13.2 current-universe official exact OCF
079160,CJ CGV,CURRENT_FINANCIAL_CORP_IDENTITY,079160,00303873,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,214869995007.0,READY,,V8.13.2 current-universe official exact OCF
079550,LIG디펜스앤에어로스페이스,CURRENT_FINANCIAL_CORP_IDENTITY,079550,00503668,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-584305263675.0,READY,,V8.13.2 current-universe official exact OCF
