name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
DB하이텍,000990,KOSPI,OK,2026-08-19,93600,74800,91300,110100,123700,71000,7520.0,5.61,2.0,68900.0,112900.0,71200,110100,63.86,56.14,22,68900.0,230500.0,71200,220500,234.54,15.28,-8.24,-40.5,418894,39560646450,38012293772,False,4072029436800,43504588,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-37963850,KRW,TRUE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260803,주식등의대량보유상황보고서(약식),15,2026-08-20T09:00:17+09:00
DH오토넥스,000300,KOSPI,OK,2026-08-19,4200,3950,4160,4535,4830,3865,,0.0,,,,4200,4200,,,22,,,4200,4200,,,0.0,0.0,0,0,0,True,174035631000,41437055,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,6672380970,KRW,FALSE,2025 사업보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"상장폐지위험,주요주주변동",20260818,임원ㆍ주요주주특정증권등소유상황보고서,7,2026-08-20T09:00:17+09:00
DI동일,001530,KOSPI,OK,2026-08-19,24000,22650,23750,25150,26150,22400,531.0,2.26,1.9,22150.0,25750.0,22500,25500,16.25,51.39,22,20000.0,29400.0,20450,28600,47.0,42.55,6.67,-14.74,18478,442389850,502057751,True,497174904000,20715621,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,4018589795,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260702,주식등의대량보유상황보고서(약식),1,2026-08-20T09:00:17+09:00
DKME,015590,KOSPI,OK,2026-08-19,1488,1399,1473,1630,1747,1443,65.0,3.13,1.8,1488.0,1940.0,1488,1869,30.38,0.0,22,1488.0,2850.0,1488,2620,91.53,0.0,-20.09,-43.21,49905,76665878,90751422,True,79453706304,53396308,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-4248893686,KRW,TRUE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260702,주식등의대량보유상황보고서(약식),2,2026-08-20T09:00:17+09:00
DL,000210,KOSPI,OK,2026-08-19,50100,45700,49550,54000,57200,44800,1769.0,3.67,2.4,39000.0,52800.0,41150,51900,35.38,80.43,22,39000.0,63900.0,41150,60500,63.85,44.58,13.86,-8.91,39350,1965111600,4788177662,True,1049889788400,20955884,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,369363656822,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
DL우,000215,KOSPI,OK,2026-08-19,24000,22550,23750,25300,26300,22250,590.0,2.66,2.3,19110.0,24050.0,19990,24000,25.85,98.99,22,19110.0,27100.0,19990,26500,41.81,61.2,20.0,-3.03,3922,91972125,66870998,True,40466760000,1686115,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
DL이앤씨,375500,KOSPI,OK,2026-08-19,71800,64900,71000,77900,82900,63500,2770.0,4.06,1.9,49300.0,76500.0,52400,73800,55.17,82.72,22,49300.0,95600.0,52400,89400,93.91,48.6,24.01,-7.95,335839,23925446900,21817806915,False,2778202131400,38693623,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,316789365340,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260702,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-20T09:00:17+09:00
DN오토모티브,007340,KOSPI,OK,2026-08-19,54100,50000,53600,57700,60700,49200,1641.0,3.84,2.4,34300.0,67500.0,35250,62800,96.79,59.64,22,32200.0,67500.0,34100,62800,109.63,62.04,39.97,17.48,579957,32802070900,13887326971,False,3165437796500,58510865,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,350055890000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260814,주식등의대량보유상황보고서(일반),5,2026-08-20T09:00:17+09:00
DRB동일,004840,KOSPI,OK,2026-08-19,4245,4040,4205,4430,4575,3995,83.0,1.91,2.2,3920.0,4600.0,4150,4485,17.35,47.79,22,3900.0,5030.0,3915,4935,28.97,30.53,0.59,-10.44,10488,44828920,115591725,True,81811185180,19272364,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,17048678066,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260813,주식등의대량보유상황보고서(약식),2,2026-08-20T09:00:17+09:00
DSR,155660,KOSPI,OK,2026-08-19,4605,4415,4560,4745,4885,4375,77.0,1.76,1.7,4120.0,4800.0,4290,4790,16.5,71.32,22,3950.0,4800.0,3970,4790,21.52,77.06,2.11,5.98,33489,153487505,186830780,True,73680000000,16000000,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,10748763796,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,주요주주변동,20260812,임원ㆍ주요주주특정증권등소유상황보고서,1,2026-08-20T09:00:17+09:00
