ticker,name,market,financial_blocker_occurrences,financial_blocker_reasons,recovery_lane,recovery_note,financial_cache_row_present,source_cache_row_present,corp_code,corp_name,corp_identity_status,corp_identity_reason,financial_source_status,financial_data_status,valuation_data_status,financial_basis,net_income,per_annualized
108675,LX하우시스우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,OFFICIAL_NO_CORP_CODE,OpenDART official stock-code mapping has no accepted corp-code row; no issuer alias is inferred.,TRUE,FALSE,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,NO_CORP_CODE,LIMITED,LIMITED_NO_FINANCIAL_DATA,,,
210540,디와이파워,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
213500,한솔제지,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
248170,샘표식품,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
249420,일동제약,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
271560,오리온,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
271980,제일약품,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
326030,SK바이오팜,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
400760,NH올원리츠,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
439260,대한조선,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
448730,삼성FN리츠,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
