ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_component_count,shadow_missing_component_count,baseline_missing_components,shadow_missing_components
006200,한국전자홀딩스,1.4338,LIMITED,LIMITED,4,3,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT
006220,제주은행,1.1486,LIMITED,LIMITED,5,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
006340,대원전선,2.4272,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
006490,프리티,10.8010,LIMITED,LIMITED,6,5,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT
007610,선도전기,3.5057,LIMITED,LIMITED,6,5,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;과열·급락 위험:MISSING_RISK_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
007700,F&F홀딩스,0.9898,LIMITED,LIMITED,2,1,하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
008250,이건산업,1.7010,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
010120,LS ELECTRIC,3.0315,LIMITED,LIMITED,18,17,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:NO_EXACT_CANDIDATE;과열·급락 위험:MISSING_RISK_INPUT
011150,CJ씨푸드,0.8418,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
011760,현대코퍼레이션,1.1644,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
012690,모나리자,0.9761,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
013580,계룡건설,1.1593,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
