basis_date,market,ticker,name,history_rows,phase_code,phase_ko,bottom_rebound,new_20d_low,swing_trough_date,swing_trough_close,swing_peak_date,swing_peak_close,from_trough_pct,from_peak_pct,momentum_5d_pct,ma20_value,ma20_direction,ma20_slope_5d_pct,confirmed_swing_low_stop,trailing_reference_status,source_metric_contract_version
2026-09-11,KOSPI,000650,천일고속,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,127700.0,2026-06-23,202000.0,12.2161,-29.0594,-0.2784,149795.0,-1,-1.806,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000660,SK하이닉스,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,1322000.0,2026-06-22,2919000.0,37.0651,-37.9239,10.0182,1698400.0,1,5.3761,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000810,삼성화재,260,UPTREND,상승중,False,False,2026-07-29,587000.0,2026-09-03,702000.0,16.8654,-2.2792,3.4691,655550.0,1,0.9393,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000880,한화,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-08-24,83800.0,2026-09-09,142000.0,63.8425,-3.3099,-0.0728,118075.0,1,13.2451,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,000990,DB하이텍,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,71200.0,2026-06-12,174300.0,48.5955,-39.3001,17.6863,96725.0,1,3.9048,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001020,페이퍼코리아,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,1733.0,2026-09-02,2675.0,29.2556,-16.2617,-8.9431,2349.4,1,5.1209,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001045,CJ우,260,NEW_LOW,최근 신저점,False,True,2026-07-20,64300.0,2026-08-06,76600.0,5.5988,-11.3577,-1.4514,69640.0,-1,-2.0534,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001060,JW중외제약,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,22000.0,2026-08-12,30000.0,20.9091,-11.3333,-3.2727,27362.5,-1,-0.1369,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001200,유진투자증권,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-29,3705.0,2026-06-17,4895.0,17.5439,-11.0317,0.0,4343.75,-1,-0.2812,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001210,금호전기,260,UPTREND,상승중,False,False,2026-06-23,481.0,2026-09-02,13300.0,2488.3576,-6.391,2.3007,10211.5,1,23.5212,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001290,상상인증권,260,UPTREND,상승중,False,False,2026-07-29,587.0,2026-09-09,4500.0,632.5383,-4.4444,325.7426,1504.05,1,45.5931,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001420,태원물산,260,BOTTOM_REBOUND,저점반등,True,False,2026-08-14,2010.0,2026-07-09,3105.0,43.2836,-7.2464,3.2258,2533.0,1,2.5921,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001440,대한전선,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,20800.0,2026-06-17,41150.0,41.8269,-28.3111,7.6642,28560.0,1,0.6786,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001527,동양2우B,260,NEW_LOW,최근 신저점,False,True,2026-06-30,4570.0,2026-07-23,8150.0,25.8206,-29.4479,-4.6434,6327.5,-1,-3.153,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001530,DI동일,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-06-26,20450.0,2026-09-07,28300.0,29.3399,-6.5371,-4.1667,26212.5,1,2.6834,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001560,제일연마,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-21,8320.0,2026-06-15,10250.0,8.0529,-12.2927,-3.125,9153.0,1,1.1661,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001770,SHD,260,NEW_LOW,최근 신저점,False,True,2026-07-31,5020.0,2026-08-19,16410.0,84.2629,-43.6319,-41.5666,12628.0,1,10.6312,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,001820,삼화콘덴서,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,57800.0,2026-06-18,190100.0,137.7163,-27.7223,25.1366,107775.0,1,8.2133,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,002210,동성제약,260,NEW_LOW,최근 신저점,False,True,2026-07-29,973.0,2026-07-31,1846.0,44.8099,-23.6728,-1.1228,1497.4,-1,-2.2266,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,002380,KCC,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-29,352500.0,2026-06-16,560000.0,37.7305,-13.3036,0.7261,476650.0,1,2.5716,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,002420,우양피앤엘,260,NEW_LOW,최근 신저점,False,True,2026-06-23,4970.0,2026-08-10,6120.0,10.4628,-10.2941,-5.0173,5768.0,-1,-0.6459,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
