ticker,name,candidate_source_status,baseline_status,candidate_status,baseline_missing_count,candidate_missing_count,elasticity_missing_before,elasticity_missing_after,baseline_score_total,candidate_score_total,baseline_score_band,candidate_score_band
114090,GKL,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
117580,대성에너지,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
123690,한국화장품,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
128820,대성산업,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
129260,인터지스,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
185750,종근당,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
204320,HL만도,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
214320,이노션,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
227840,현대코퍼레이션홀딩스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
244920,에이플러스에셋,READY,LIMITED,READY,1,0,TRUE,FALSE,,68.5,,관찰 후보
267270,HD건설기계,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
268280,미원에스씨,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
272550,삼양패키징,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
278470,에이피알,READY,READY,READY,0,0,FALSE,FALSE,69.0,69.0,관찰 후보,관찰 후보
279570,케이뱅크,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
280360,롯데웰푸드,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
285130,SK케미칼,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
317400,자이에스앤디,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
323410,카카오뱅크,READY,LIMITED,READY,1,0,TRUE,FALSE,,63.5,,대기·중립
334890,이지스밸류플러스리츠,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
357430,마스턴프리미어리츠,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
365550,ESR켄달스퀘어리츠,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
373220,LG에너지솔루션,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
395400,SK리츠,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
450080,에코프로머티,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
462520,조선내화,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
462870,시프트업,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
465770,STX그린로지스,READY,LIMITED,LIMITED,6,5,TRUE,FALSE,,,,
499790,GS피앤엘,READY,LIMITED,LIMITED,6,5,TRUE,FALSE,,,,
