date,market,proxy_daily_return_pct,proxy_index_close
2026-05-18,KOSDAQ,-1.3374,1277.03
2026-05-19,KOSDAQ,-2.2738,1248.0
2026-05-20,KOSDAQ,-1.8056,1225.46
2026-05-21,KOSDAQ,4.8278,1284.63
2026-05-22,KOSDAQ,5.0227,1349.15
2026-05-26,KOSDAQ,0.9533,1362.01
2026-05-27,KOSDAQ,-3.1006,1319.78
2026-05-28,KOSDAQ,-2.2387,1290.23
2026-05-29,KOSDAQ,-2.5413,1257.45
2026-06-01,KOSDAQ,-2.2668,1228.94
2026-06-02,KOSDAQ,-2.0148,1204.18
2026-06-04,KOSDAQ,2.3642,1232.65
2026-06-05,KOSDAQ,-4.6031,1175.91
2026-06-08,KOSDAQ,-9.0542,1069.44
2026-06-09,KOSDAQ,6.3522,1137.37
2026-06-10,KOSDAQ,-1.6225,1118.92
2026-06-11,KOSDAQ,4.6772,1171.25
2026-06-12,KOSDAQ,3.2158,1208.92
2026-06-15,KOSDAQ,0.5143,1215.14
2026-06-16,KOSDAQ,-1.4543,1197.47
2026-06-17,KOSDAQ,1.4114,1214.37
2026-06-18,KOSDAQ,-3.0131,1177.78
2026-06-19,KOSDAQ,-3.4388,1137.28
2026-06-22,KOSDAQ,0.2082,1139.64
2026-06-23,KOSDAQ,-7.8598,1050.07
2026-06-24,KOSDAQ,2.3171,1074.4
2026-06-25,KOSDAQ,-2.2588,1050.13
2026-06-26,KOSDAQ,-4.0652,1007.44
2026-06-29,KOSDAQ,7.9625,1087.66
2026-06-30,KOSDAQ,-0.4426,1082.85
2025-12-01,KOSPI,0.0,1000.0
2025-12-02,KOSPI,1.8757,1018.76
2025-12-03,KOSPI,0.9333,1028.27
2025-12-04,KOSPI,-0.1588,1026.63
2025-12-05,KOSPI,1.8158,1045.27
2025-12-08,KOSPI,1.3117,1058.98
2025-12-09,KOSPI,-0.323,1055.56
2025-12-10,KOSPI,-0.1989,1053.46
2025-12-11,KOSPI,-0.5727,1047.43
2025-12-12,KOSPI,1.3128,1061.18
2025-12-15,KOSPI,-1.872,1041.32
2025-12-16,KOSPI,-2.2301,1018.09
2025-12-17,KOSPI,1.5469,1033.84
2025-12-18,KOSPI,-1.5449,1017.87
2025-12-19,KOSPI,0.6664,1024.65
2025-12-22,KOSPI,2.1367,1046.55
2025-12-23,KOSPI,0.2901,1049.58
2025-12-24,KOSPI,-0.1967,1047.52
2025-12-26,KOSPI,0.5278,1053.05
2025-12-29,KOSPI,2.1432,1075.62
2025-12-30,KOSPI,-0.159,1073.91
2026-01-02,KOSPI,2.3607,1099.26
2026-01-05,KOSPI,3.5334,1138.1
2026-01-06,KOSPI,1.5006,1155.18
2026-01-07,KOSPI,0.5898,1161.99
2026-01-08,KOSPI,-0.0131,1161.84
2026-01-09,KOSPI,0.7653,1170.73
2026-01-12,KOSPI,0.8397,1180.56
2026-01-13,KOSPI,1.4458,1197.63
2026-01-14,KOSPI,0.6759,1205.73
2026-01-15,KOSPI,1.6017,1225.04
2026-01-16,KOSPI,1.0002,1237.29
2026-01-19,KOSPI,1.3204,1253.63
2026-01-20,KOSPI,-0.4562,1247.91
2026-01-21,KOSPI,0.5954,1255.34
2026-01-22,KOSPI,0.8213,1265.65
2026-01-23,KOSPI,0.7285,1274.87
2026-01-26,KOSPI,-0.8188,1264.43
2026-01-27,KOSPI,2.7306,1298.96
2026-01-28,KOSPI,1.7196,1321.29
2026-01-29,KOSPI,0.9326,1333.62
2026-01-30,KOSPI,0.0745,1334.61
2026-02-02,KOSPI,-5.276,1264.2
2026-02-03,KOSPI,6.88,1351.17
