name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
보성파워텍,006910,KOSDAQ,OK,2026-07-31,5750,4880.0,5610,6780,7620,4685.0,467.0,5.4,2.8,4830.0,8080.0,4935,7970,67.29,28.31,23,4830.0,18200.0,4935,15830,276.81,6.88,-21.12,-52.4,1108408,6169472915,5804103909,False,282496488000,49129824,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,5952503595,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260702,주식등의대량보유상황보고서(일반),1,2026-08-01T10:30:42+09:00
본느,226340,KOSDAQ,OK,2026-07-31,1677,1393.0,1643,1927,2130,1336.0,114.0,9.19,2.5,1220.0,2145.0,1224,2080,75.82,49.41,23,,3080.0,647,2650,,54.45,-16.77,159.2,89855,150686835,46204466,True,14070841668,8390484,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-2092626233,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,최대주주변경,20260731,최대주주변경을수반하는주식양수도계약체결              ,1,2026-08-01T10:30:42+09:00
부방,014470,KOSDAQ,OK,2026-07-31,861,775.0,851,936,998,758.0,34.0,3.01,2.0,750.0,1199.0,813,1033,59.87,24.72,23,750.0,1511.0,813,1456,101.47,14.59,-16.16,-40.87,299323,246266123,168888518,True,51704995860,60052260,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,921202864,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260731,주식등의대량보유상황보고서(일반),4,2026-08-01T10:30:42+09:00
부스타,008470,KOSDAQ,OK,2026-07-31,1927,1698.0,1900,2130,2295,1652.0,92.0,2.85,2.1,1600.0,3890.0,1720,3730,143.12,14.28,23,1600.0,4010.0,1720,3890,150.62,13.57,-35.87,-50.21,55598,103678073,124250672,True,16196049600,8404800,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1029378337,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분,주요주주변동",20260624,자기주식처분결과보고서,11,2026-08-01T10:30:42+09:00
뷰노,338220,KOSDAQ,OK,2026-07-31,7280,6270.0,7160,8170,8890,6070.0,403.0,4.1,2.4,5500.0,8260.0,6610,7920,50.18,64.49,23,5500.0,19590.0,6610,18960,256.18,12.63,-5.08,-61.6,27716,194856855,228362671,True,101933271440,14001823,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-4108009903,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
뷰웍스,100120,KOSDAQ,OK,2026-07-31,21950,20200.0,21750,23500,24800,19830.0,708.0,2.81,2.0,19460.0,24500.0,20150,23950,25.9,49.4,23,19460.0,34900.0,20150,32950,79.34,16.13,-6.4,-19.15,28719,614779500,660025089,True,196922471450,8971411,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,8842585394,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
뷰티스킨,406820,KOSDAQ,OK,2026-07-31,1676,1540.0,1626,2045,2350,1479.0,168.0,6.81,2.3,1525.0,2305.0,1604,2285,51.15,19.36,23,1525.0,4550.0,1560,4100,198.36,4.99,0.9,-44.23,171069,282778499,2152472058,True,23692199132,14136157,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1484387010,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260730,주식등의대량보유상황보고서(약식),1,2026-08-01T10:30:42+09:00
브레인즈컴퍼니,099390,KOSDAQ,OK,2026-07-31,3145,2945.0,3115,3320,3465,2905.0,79.0,2.16,1.7,2850.0,3650.0,2950,3460,28.07,36.88,23,2850.0,4995.0,2950,4710,75.26,13.75,-7.91,-33.23,10108,31534090,90394077,True,25815050035,8208283,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1220714135,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260521,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-01T10:30:42+09:00
브리지텍,064480,KOSDAQ,OK,2026-07-31,2510,2335.0,2485,2665,2790,2300.0,70.0,2.18,2.5,2300.0,2960.0,2455,2890,28.7,31.82,23,2300.0,4440.0,2455,4340,93.04,9.81,-11.78,-42.17,55555,137353090,139913345,True,30000775000,11952500,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,346522389,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
브이씨,365900,KOSDAQ,OK,2026-07-31,2575,2360.0,2550,2765,2915,2320.0,85.0,3.21,1.9,2140.0,2935.0,2305,2855,37.15,54.72,23,2140.0,3440.0,2305,3125,60.75,33.46,5.53,-17.6,9007,22349490,32813276,True,18824022500,7310300,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-472171520,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260722,주식등의대량보유상황보고서(일반),6,2026-08-01T10:30:42+09:00
