ticker,name,market,target_year,fs_div,source_layer,source_status,depreciation_value,amortisation_value,da_total,approved_exact_fact_count,both_exact_facts_present,evidence_ref
267270,HD건설기계,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,46591000000.0,7456000000.0,54047000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
271940,일진하이솔루스,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,6829033000.0,1066026000.0,7895059000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
271980,제일약품,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,10063859000.0,2253478000.0,12317337000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
278470,에이피알,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,7570992353.0,1152489949.0,8723482302.0,2,TRUE,latest/investment_score_source_cache_latest.csv
286940,롯데이노베이트,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,47771521000.0,16675521000.0,64447042000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
298690,에어부산,KOSPI,2025,OFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,159883343000.0,602446000.0,160485789000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
336260,두산퓨얼셀,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,17298002206.0,4916366940.0,22214369146.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
361610,SK아이이테크놀로지,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,136780034000.0,3179132000.0,139959166000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
373220,LG에너지솔루션,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,3413557000000.0,277693000000.0,3691250000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
403550,쏘카,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,97334754000.0,1425645000.0,98760399000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
456040,OCI,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,87280240000.0,3095029000.0,90375269000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
475560,더본코리아,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,3537302000.0,576270000.0,4113572000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
