date,indicator_code,indicator_name,value,unit,frequency,source,source_url
2022-08-02,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18643116.382871,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-03,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18717412.341542,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-04,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18839028.501157,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-05,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18836376.08025,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-08,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18946270.42722,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-09,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18967828.914466,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-10,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19093064.000152,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-11,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19210996.621537,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-12,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19326656.51155,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-16,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19306625.725114,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-17,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19376372.578198,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-18,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19415177.194783,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-19,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19458847.501052,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-22,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19544967.604297,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-23,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19531315.21838,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
