basis_date,market,ticker,name,official_close,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_52w_pct,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_direction,ma20_direction,ma60_direction,ma120_direction,mean_run_days,streak_direction,streak_days,streak_change_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,sector_benchmark_ticker,sector_benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,atr14_pct,avg_daily_range_20_pct,ma20_reference,confirmed_swing_low_stop,rsi,macd,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,002450,삼익악기,1131.0,,-2.0779,-9.7366,-2.7515,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-12,5.0139,-13.3997,-2.4159,-1,1,-1,-1,2.608695652173913,-1,4,-3.0848,-10.972,1.2635,1027,제조,-12.5639,3.2739,2.2934,2.0089,1132.6,,,,,
2026-09-11,KOSPI,002990,금호건설,14710.0,,28.0244,297.5676,205.8212,,,TOP_DECLINE,고점후하락,2026-06-11,2026-07-09,297.5676,-15.0202,-8.5768,-1,1,1,1,2.142857142857143,-1,4,-8.6903,19.1303,308.5677,1018,건설,14.5678,287.6364,,11.884,15413.0,,,,,
2026-09-11,KOSPI,003010,혜인,9450.0,,33.4746,101.0638,79.3169,,,TOP_DECLINE,고점후하락,2026-07-29,2026-08-28,136.5457,-25.4732,-11.2676,-1,1,1,1,2,1,3,9.1224,24.5805,112.0639,1016,유통,31.6157,114.2263,13.8561,16.7935,10411.5,,,,,
2026-09-11,KOSPI,003230,삼양식품,1278000.0,,1.9139,8.6735,14.1071,,,TOP_DECLINE,고점후하락,2026-07-20,2026-08-28,21.3675,-17.3885,-9.8095,-1,1,1,1,2,1,1,1.1076,-6.9802,19.6736,1005,음식료·담배,4.1446,9.9825,5.5313,5.225,1390300.0,,,,,
2026-09-11,KOSPI,003280,흥아해운,1878.0,,8.8696,1.4587,-14.0503,,,BOTTOM_REBOUND,저점반등,2026-07-29,2026-07-23,22.8254,-7.715,8.9327,1,1,-1,-1,1.935483870967742,-1,1,-1.2099,-0.0245,12.4588,1019,운송·창고,7.5271,-7.937,6.3355,5.878,1763.65,,,,,
2026-09-11,KOSPI,003350,한국화장품제조,15710.0,,51.9342,91.1192,-66.9263,,,UPTREND,상승중,2026-06-25,2026-09-11,121.8927,0.0,23.2157,1,1,1,-1,2.142857142857143,1,1,19.3769,43.0401,102.1193,1008,화학,49.6664,89.4179,,9.3894,12940.0,,,,,
2026-09-11,KOSPI,003490,대한항공,28950.0,,8.6304,16.7339,17.6829,,,UPTREND_PULLBACK,상승중 눌림,2026-07-30,2026-09-07,17.4442,-4.6129,-4.1391,1,1,1,1,2.142857142857143,-1,4,-4.6129,-0.2637,27.734,1019,운송·창고,7.2879,7.3382,3.5752,3.2856,27932.5,,,,,
2026-09-11,KOSPI,003495,대한항공우,21700.0,,0.9302,1.4019,-7.0664,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-15,4.3269,-5.6522,-1.81,1,1,-1,-1,2.0689655172413794,-1,3,-1.3636,-7.9639,12.402,1019,운송·창고,-0.4123,-7.9938,2.0666,2.0004,21757.5,,,,,
2026-09-11,KOSPI,003530,한화투자증권,4785.0,,4.5902,-12.6825,-35.2503,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-17,30.2041,-19.3086,-6.1765,-1,1,-1,-1,1.935483870967742,-1,1,-1.9467,-4.3039,-1.6824,1024,증권,9.8409,10.7871,5.439,5.1176,4831.5,,,,,
2026-09-11,KOSPI,003540,대신증권,27200.0,,3.4221,-4.8951,-32.9223,,,BOTTOM_REBOUND,저점반등,2026-07-29,2026-06-16,15.4989,-12.96,2.6415,1,1,-1,-1,1.7647058823529411,1,1,0.7407,-5.472,6.105,1024,증권,8.6728,18.5745,3.1263,2.6346,26597.5,,,,,
