ticker,name,market,single_blocker_ticker,current_blocker_reason,v888_already_promoted,v885_present,v885_report_status,v885_xbrl_status,v885_audit_result,v885_approved_exact_fact_count,v885_approved_exact_local_names,v885_all_da_local_names,v887_present,v887_source_fs_div,v887_target_member,v887_selected_local_names,v887_both_approved_facts_unique,v887_selection_classification,provenance_class,recovery_lane,safe_auto_promotion,next_action
078520,에이블씨엔씨,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
298000,효성화학,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_DA_FACT_FOUND_NO_APPROVED_EXACT,0,,AdjustmentsForDepreciationAndAmortisationExpense|AmortisationExpense|AmortisationExpenseSellingGeneralAdministrativeExpenses|AmortisationIntangibleAssetsOtherThanGoodwill|DepreciationAndAmortisationExpense|DepreciationAndAmortizedCostOfIncomeStatementAbstract|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationIncludeLossOfOtherTangibleAssetsAndSupplyExpensesPropertyPlantAndEquipmentOfChangesInPropertyPlantAndEquipmentOfChangesInPropertyPlantAndEquipmentTableOfItems|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets|DescriptionOfAccumulatedDepreciationOfDisclosureOfDetailedInformationAboutPropertyPlantAndEquipmentLineItemsOfDisclosureOfPropertyPlantAndEquipmentTableOfItems|ExplanationOfDepreciationIncludeLossOfOtherTangibleAssetsAndSupplyExpensesPropertyPlantAndEquipmentOfChangesInPropertyPlantAndEquipmentOfChangesInPropertyPlantAndEquipmentTableOfItems,FALSE,,,,,,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,D&A 관련 fact는 있으나 현재 승인 exact ID가 아님; 새 ID 자동 승인 없이 다른 공식 D&A 소스 조사
483650,달바글로벌,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_NO_DA_FACT,0,,,FALSE,,,,,,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,원본 XBRL에 D&A fact가 없어 다른 공식 소스 조사
006380,카프로,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_APPROVED_EXACT_FACT_FOUND,2,AdjustmentsForDepreciationExpense,AdjustmentsForDepreciationExpense|DepreciationExpense|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets,TRUE,OFS,SeparateMember,AdjustmentsForDepreciationExpense,FALSE,MATCHED_FS_MEMBER_PARTIAL_ONE_FACT,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,FALSE,승인 exact fact 한쪽만 있으므로 누락된 다른 fact를 공식 소스에서 추가 확인; 0으로 간주하거나 partial을 자동 승격하지 않음
014160,대영포장,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_APPROVED_EXACT_FACT_FOUND,2,AdjustmentsForDepreciationExpense,AdjustmentsForDepreciationExpense|AdjustmentsForDepreciationInvestmentProperty|AdjustmentsForDepreciationRightofuseAssets|DepreciationAndAmortisationExpense|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationInvestmentProperty|DepreciationOfRightOfUseAssetsOfExpensesByNatureOfExpenseByNatureTableOfItems|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets|DepreciationofrightofuseassetssellingandgeneraladministrativeexpensesofsellinggeneraladministrativeexpensesofsellinggeneralandadministrativeexpensestableofitemsOfSellingGeneralAdministrativeExpensesOfSellingGeneralAndAdministrativeExpensesTableOfItems|InvestmentPropertyDepreciationExpenseSellingGeneralAdministrativeExpenses,TRUE,OFS,SeparateMember,AdjustmentsForDepreciationExpense,FALSE,MATCHED_FS_MEMBER_PARTIAL_ONE_FACT,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,FALSE,승인 exact fact 한쪽만 있으므로 누락된 다른 fact를 공식 소스에서 추가 확인; 0으로 간주하거나 partial을 자동 승격하지 않음
017670,SK텔레콤,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_APPROVED_EXACT_FACT_FOUND,4,AdjustmentsForDepreciationExpense,AdjustmentsForDepreciationExpense|AmortisationAssetsRecognisedFromCostsIncurredToObtainOrFulfilContractsWithCustomers|AmortisationIntangibleAssetsOtherThanGoodwill|AmortisationMethodIntangibleAssetsOtherThanGoodwill|CommencementOfAmortizationOfDisclosureOfIntangibleAssetsMaterialToEntityLineItemsOfDisclosureOfIntangibleAssetsMaterialToEntityTableOfItems|CompletionOfAmortizationOfDisclosureOfIntangibleAssetsMaterialToEntityLineItemsOfDisclosureOfIntangibleAssetsMaterialToEntityTableOfItems|DepreciationAndAmortisationExpense|DepreciationExpense|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets|DescriptionOfDepreciationAndOtherAspectsOfUserRightsAssets|DescriptionOfDepreciationExpenseOfOtherRightOfUseAssets,TRUE,CFS,ConsolidatedMember,AdjustmentsForDepreciationExpense,FALSE,MATCHED_FS_MEMBER_PARTIAL_ONE_FACT,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,FALSE,승인 exact fact 한쪽만 있으므로 누락된 다른 fact를 공식 소스에서 추가 확인; 0으로 간주하거나 partial을 자동 승격하지 않음
022100,포스코DX,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,OK,XBRL_APPROVED_EXACT_FACT_FOUND,4,AdjustmentsForAmortisationExpense,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationInvestmentProperty|AmortisationExpense|AmortisationExpenseSellingGeneralAdministrativeExpenses|AmortisationIntangibleAssetsOtherThanGoodwill|CostOfSalesOnFinanceLeasesOfAmountRecognizedAsALeaseProviderOfDepreciationRecognizedInTheComprehensiveIncomeStatementInRelationToLeaseAssetsTableOfItems|DepreciationExpenseSellingGeneralAdministrativeExpenses|DepreciationInvestmentProperty|DepreciationPropertyPlantAndEquipment|DepreciationRightofuseAssets,TRUE,CFS,ConsolidatedMember,AdjustmentsForAmortisationExpense,FALSE,MATCHED_FS_MEMBER_PARTIAL_ONE_FACT,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,FALSE,승인 exact fact 한쪽만 있으므로 누락된 다른 fact를 공식 소스에서 추가 확인; 0으로 간주하거나 partial을 자동 승격하지 않음
001527,동양2우B,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
001530,DI동일,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
002380,KCC,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
004545,깨끗한나라우,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
005385,현대차우,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
005387,현대차2우B,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
005389,현대차3우B,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
051905,LG생활건강우,KOSPI,FALSE,EV/EBITDA:EV_EBITDA_INPUT:NO_EXACT_CANDIDATE:NO_EXACT_CANDIDATE,FALSE,TRUE,NO_CORP_CODE,,NO_CORP_CODE,0,,,FALSE,,,,,,REPORT_LOOKUP_FAILURE_OR_MISSING,RETRY_OFFICIAL_DART_REPORT_LOOKUP,FALSE,공식 DART 사업보고서 조회 재시도: NO_CORP_CODE
002450,삼익악기,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,NOT_ZIP,XBRL_PARSE_FAILED,0,,,FALSE,,,,,,XBRL_DOWNLOAD_OR_PARSE_FAILURE,RETRY_OFFICIAL_XBRL,FALSE,공식 원본 XBRL 재조회/파싱 감사: NOT_ZIP
012450,한화에어로스페이스,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,NOT_ZIP,XBRL_PARSE_FAILED,0,,,FALSE,,,,,,XBRL_DOWNLOAD_OR_PARSE_FAILURE,RETRY_OFFICIAL_XBRL,FALSE,공식 원본 XBRL 재조회/파싱 감사: NOT_ZIP
023960,에쓰씨엔지니어링,KOSPI,TRUE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,FALSE,TRUE,OK,NOT_ZIP,XBRL_PARSE_FAILED,0,,,FALSE,,,,,,XBRL_DOWNLOAD_OR_PARSE_FAILURE,RETRY_OFFICIAL_XBRL,FALSE,공식 원본 XBRL 재조회/파싱 감사: NOT_ZIP
