date,Adj Close,Close,High,Low,Open,Volume,name,ticker,country,source_used,시가,고가,저가,종가,거래량,등락률
2026-03-30,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,82900.0,83700.0,79600.0,80800.0,344651.0,-3.579952267303103
2026-03-31,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,81600.0,85800.0,78000.0,78500.0,366515.0,-2.846534653465347
2026-04-01,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,82700.0,86500.0,80100.0,86100.0,425932.0,9.681528662420384
2026-04-02,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,86800.0,88300.0,82600.0,83300.0,474132.0,-3.2520325203252036
2026-04-03,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,85400.0,91200.0,85000.0,90600.0,428374.0,8.763505402160865
2026-04-06,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,90500.0,94800.0,89700.0,91600.0,363977.0,1.1037527593818985
2026-04-07,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,92600.0,94100.0,85400.0,87800.0,473544.0,-4.148471615720524
2026-04-08,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,90900.0,94500.0,89200.0,94400.0,561440.0,7.517084282460136
2026-04-09,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,92700.0,95000.0,91200.0,92600.0,292732.0,-1.9067796610169492
2026-04-10,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,95100.0,95500.0,92200.0,94800.0,482177.0,2.375809935205184
2026-04-13,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,92300.0,97800.0,91000.0,96500.0,273350.0,1.7932489451476792
2026-04-14,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,96600.0,100000.0,95400.0,96700.0,349493.0,0.20725388601036268
2026-04-15,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,96500.0,101200.0,93100.0,98600.0,653911.0,1.9648397104446742
2026-04-16,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,98500.0,106300.0,96200.0,103500.0,671339.0,4.9695740365111565
2026-04-17,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,103000.0,107000.0,102100.0,106900.0,401280.0,3.2850241545893724
2026-04-20,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,106000.0,128400.0,105500.0,126700.0,1360694.0,18.52198316183349
2026-04-21,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,123700.0,124700.0,117700.0,122000.0,720299.0,-3.7095501183898976
2026-04-22,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,120800.0,129200.0,120500.0,127900.0,652748.0,4.836065573770492
2026-04-23,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,132000.0,138600.0,126600.0,137400.0,1056574.0,7.427677873338546
2026-04-24,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,155600.0,159200.0,146100.0,152000.0,1072826.0,10.625909752547306
2026-04-27,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,155500.0,159000.0,150800.0,159000.0,669705.0,4.605263157894736
2026-04-28,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,159700.0,164500.0,153500.0,154700.0,473547.0,-2.7044025157232707
