basis_date,market,ticker,name,return_1w_pct,return_1w_start_date,return_1w_status,return_6m_pct,return_6m_start_date,return_6m_status,return_ytd_pct,return_ytd_start_date,return_ytd_status,return_52w_pct,return_52w_start_date,return_52w_status
2026-09-11,KOSPI,001527,동양2우B,-4.6434,2026-09-04,OK,-33.9839,2026-03-11,OK,-34.3607,2025-12-30,OK,-34.5103,2025-09-12,OK
2026-09-11,KOSPI,001530,DI동일,-4.1667,2026-09-04,OK,17.2949,2026-03-11,OK,34.6056,2025-12-30,OK,-28.8978,2025-09-12,OK
2026-09-11,KOSPI,001560,제일연마,-3.125,2026-09-04,OK,-15.666,2026-03-11,OK,-9.9198,2025-12-30,OK,-15.5075,2025-09-12,OK
2026-09-11,KOSPI,001770,SHD,-41.5666,2026-09-04,OK,-46.3457,2026-03-11,OK,-49.0358,2025-12-30,OK,-48.2662,2025-09-12,OK
2026-09-11,KOSPI,001820,삼화콘덴서,25.1366,2026-09-04,OK,177.2957,2026-03-11,OK,369.7436,2025-12-30,OK,329.375,2025-09-12,OK
2026-09-11,KOSPI,002210,동성제약,-1.1228,2026-09-04,OK,44.8099,2026-03-11,OK,44.8099,2025-12-30,OK,44.8099,2025-09-12,OK
2026-09-11,KOSPI,002380,KCC,0.7261,2026-09-04,OK,-13.3036,2026-03-11,OK,15.4578,2025-12-30,OK,16.1483,2025-09-12,OK
2026-09-11,KOSPI,002420,우양피앤엘,-5.0173,2026-09-04,OK,-1.9643,2026-03-11,OK,2.0446,2025-12-30,OK,3.0019,2025-09-12,OK
2026-09-11,KOSPI,002450,삼익악기,-2.4159,2026-09-04,OK,-2.7515,2026-03-11,OK,-8.7903,2025-12-30,OK,-12.7315,2025-09-12,OK
2026-09-11,KOSPI,002990,금호건설,-8.5768,2026-09-04,OK,205.8212,2026-03-11,OK,268.6717,2025-12-30,OK,270.0629,2025-09-12,OK
2026-09-11,KOSPI,003010,혜인,-11.2676,2026-09-04,OK,79.3169,2026-03-11,OK,77.9661,2025-12-30,OK,64.6341,2025-09-12,OK
2026-09-11,KOSPI,003230,삼양식품,-9.8095,2026-09-04,OK,14.1071,2026-03-11,OK,3.818,2025-12-30,OK,-20.9158,2025-09-12,OK
2026-09-11,KOSPI,003280,흥아해운,8.9327,2026-09-04,OK,-14.0503,2026-03-11,OK,18.5606,2025-12-30,OK,10.7965,2025-09-12,OK
2026-09-11,KOSPI,003350,한국화장품제조,23.2157,2026-09-04,OK,-66.9263,2026-03-11,OK,-67.8732,2025-12-30,OK,-73.7291,2025-09-12,OK
2026-09-11,KOSPI,003490,대한항공,-4.1391,2026-09-04,OK,17.6829,2026-03-11,OK,28.3814,2025-12-30,OK,21.1297,2025-09-12,OK
2026-09-11,KOSPI,003495,대한항공우,-1.81,2026-09-04,OK,-7.0664,2026-03-11,OK,-9.0147,2025-12-30,OK,-9.5833,2025-09-12,OK
2026-09-11,KOSPI,003530,한화투자증권,-6.1765,2026-09-04,OK,-35.2503,2026-03-11,OK,1.9169,2025-12-30,OK,-21.6858,2025-09-12,OK
2026-09-11,KOSPI,003540,대신증권,2.6415,2026-09-04,OK,-32.9223,2026-03-11,OK,0.7407,2025-12-30,OK,-5.3913,2025-09-12,OK
2026-09-11,KOSPI,003550,LG,-7.1016,2026-09-04,OK,20.5788,2026-03-11,OK,39.4052,2025-12-30,OK,48.4169,2025-09-12,OK
2026-09-11,KOSPI,003580,HLB글로벌,-6.1025,2026-09-04,OK,-16.144,2026-03-11,OK,-29.6983,2025-12-30,OK,-25.1835,2025-09-12,OK
2026-09-11,KOSPI,003670,포스코퓨처엠,0.9259,2026-09-04,OK,-11.9715,2026-03-11,OK,-0.9091,2025-12-30,OK,38.8015,2025-09-12,OK
2026-09-11,KOSPI,004170,신세계,-0.3922,2026-09-04,OK,11.4035,2026-03-11,OK,54.251,2025-12-30,OK,115.7418,2025-09-12,OK
2026-09-11,KOSPI,004310,현대약품,23.522,2026-09-04,OK,3.4773,2026-03-11,OK,15.2582,2025-12-30,OK,152.4422,2025-09-12,OK
2026-09-11,KOSPI,004370,농심,-3.6047,2026-09-04,OK,5.203,2026-03-11,OK,-4.1618,2025-12-30,OK,-20.5939,2025-09-12,OK
2026-09-11,KOSPI,004490,세방전지,-4.3478,2026-09-04,OK,-0.6452,2026-03-11,OK,-1.9108,2025-12-30,OK,-2.3772,2025-09-12,OK
2026-09-11,KOSPI,004545,깨끗한나라우,-7.0238,2026-09-04,OK,-62.703,2026-03-11,OK,-67.1019,2025-12-30,OK,-67.0742,2025-09-12,OK
2026-09-11,KOSPI,004710,한솔테크닉스,4.6099,2026-09-04,OK,60.6171,2026-03-11,OK,50.5102,2025-12-30,OK,61.2022,2025-09-12,OK
2026-09-11,KOSPI,004770,써니전자,-2.746,2026-09-04,OK,35.6094,2026-03-11,OK,36.2179,2025-12-30,OK,28.7099,2025-09-12,OK
2026-09-11,KOSPI,004870,티웨이홀딩스,-2.1034,2026-09-04,OK,217.3295,2026-03-11,OK,133.1942,2025-12-30,OK,95.2797,2025-09-12,OK
2026-09-11,KOSPI,004910,조광페인트,-0.1412,2026-09-04,OK,-27.0382,2026-03-11,OK,-29.8611,2025-12-30,OK,-41.2791,2025-09-12,OK
2026-09-11,KOSPI,005320,온타이드,-0.166,2026-09-04,OK,129.5802,2026-03-11,OK,163.8158,2025-12-30,OK,116.3669,2025-09-12,OK
2026-09-11,KOSPI,005380,현대차,-0.2608,2026-09-04,OK,-27.8302,2026-03-11,OK,29.0051,2025-12-30,OK,71.1409,2025-09-12,OK
2026-09-11,KOSPI,005385,현대차우,-1.9397,2026-09-04,OK,-31.8352,2026-03-11,OK,-11.6505,2025-12-30,OK,6.8702,2025-09-12,OK
2026-09-11,KOSPI,005387,현대차2우B,-2.3268,2026-09-04,OK,-31.4991,2026-03-11,OK,-15.0588,2025-12-30,OK,4.0346,2025-09-12,OK
2026-09-11,KOSPI,005389,현대차3우B,-1.5987,2026-09-04,OK,-28.6,2026-03-11,OK,-12.9268,2025-12-30,OK,5.3719,2025-09-12,OK
2026-09-11,KOSPI,005490,POSCO홀딩스,-0.8902,2026-09-04,OK,-3.1884,2026-03-11,OK,9.5082,2025-12-30,OK,17.193,2025-09-12,OK
2026-09-11,KOSPI,005500,삼진제약,-1.6533,2026-09-04,OK,2.5584,2026-03-11,OK,-6.6329,2025-12-30,OK,-3.808,2025-09-12,OK
2026-09-11,KOSPI,005820,원림,-6.9034,2026-09-04,OK,-10.8312,2026-03-11,OK,-4.9664,2025-12-30,OK,-0.979,2025-09-12,OK
