ticker,name,source_origin,candidate_ocf_status,baseline_status,candidate_status,baseline_missing_components,candidate_missing_components,removed_reasons,added_reasons,baseline_score_total,candidate_score_total
007310,오뚜기,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
007690,국도화학,V8131_FROZEN_READY,READY,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,73.0
010660,화천기계,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
011210,현대위아,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
011280,태림포장,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
012330,현대모비스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
014830,유니드,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
015360,INVENI,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;과열·급락 위험:MISSING_RISK_INPUT,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;과열·급락 위험:MISSING_RISK_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
016800,퍼시스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
027740,마니커,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;과열·급락 위험:MISSING_RISK_INPUT,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;과열·급락 위험:MISSING_RISK_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
030000,제일기획,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
030720,동원수산,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT,기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
034230,파라다이스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
037270,YG PLUS,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
039130,하나투어,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
042700,한미반도체,V8131_FROZEN_READY,READY,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,63.5
047400,유니온머티리얼,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
051910,LG화학,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,PER:MISSING_PER;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
