ticker,name,market,production_table,single_blocker_ticker,supply_status,supply_level,supply_classification,analysis_top_level_keys_json,candidate_completeness_paths_json,analysis_flat_json
005385,현대차우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""192800~201500"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""171900~180200""}"
005387,현대차2우B,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""191400~200000"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""171800~178700""}"
005389,현대차3우B,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""187800~195400"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""170400~176700""}"
009200,무림페이퍼,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""1534~1580"",""legacy_score_not_100_scale"":null,""operating_profit"":""28190191330"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""1433~1472""}"
011200,HMM,KOSPI,kospi,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":""흑자지속"",""first_sell_target_range"":""21,850원~22,650원"",""legacy_score_not_100_scale"":125.0,""operating_profit"":""6232억원"",""pbr"":0.74,""per"":13.96,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""19,720원~20,650원""}"
012690,모나리자,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""1577~1673"",""legacy_score_not_100_scale"":null,""operating_profit"":""1442824786"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""1325~1443""}"
013360,일성건설,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""1626~1776"",""legacy_score_not_100_scale"":null,""operating_profit"":""5355846753"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""1235~1418""}"
029780,삼성카드,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""47250~48700"",""legacy_score_not_100_scale"":null,""operating_profit"":""418651000000"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""45000~45050""}"
051905,LG생활건강우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""107700~111100"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""98700~102500""}"
063160,종근당바이오,KOSPI,decliners,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""13630~14130"",""legacy_score_not_100_scale"":null,""operating_profit"":""-6709617762"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""12320~12890""}"
066570,LG전자,KOSPI,kospi,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":""흑자지속"",""first_sell_target_range"":""215,500원~228,500원"",""legacy_score_not_100_scale"":134.0,""operating_profit"":""3.25조원"",""pbr"":1.06,""per"":9.48,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""181,400원~197,300원""}"
