ticker,name,corp_code,preferred_fs_div,dominant_financial_period,annual_source_year,fresh_deep_status,fresh_deep_fs_div,fresh_deep_message,fresh_exact_classification,recovery_lane,approved_depreciation_occurrences,approved_depreciation_values_json,approved_amortisation_occurrences,approved_amortisation_values_json,fresh_exact_stats_json,fresh_da_candidates_json
007070,GS리테일,00140177,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
011210,현대위아,00106623,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
014830,유니드,00159786,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
034230,파라다이스,00171265,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
039130,하나투어,00269940,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
073240,금호타이어,00481454,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
079160,CJ CGV,00303873,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
079550,LIG디펜스앤에어로스페이스,00503668,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
082740,한화엔진,00361008,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
089590,제주항공,00555874,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
090370,메타랩스,00442835,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
095570,AJ네트웍스,00365387,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
105630,한세실업,00728638,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
112610,씨에스윈드,00670340,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
128820,대성산업,00828789,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
185750,종근당,00992871,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
227840,현대코퍼레이션홀딩스,01108099,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
